restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people)
Dastarkhan,Quick Bites,Mughlai,2.8,400.0
Davanagere Bene Dosa Hotel,Quick Bites,South Indian,3.3,100.0
Davanagere Benne Dosa,Quick Bites,South Indian,2.8,150.0
Davanagere Benne Dosa Hotel,Quick Bites,South Indian,3.1,150.0
Davanagere Benne Dose,Quick Bites,South Indian,3.9,150.0
Davanagere Benne Dose Hut,Quick Bites,South Indian,3.4,100.0
Davanagere Butter Dosa Hotel,Quick Bites,South Indian,3.7,150.0
Davangere Benna Dose Hotel,Quick Bites,South Indian,4.1,100.0
Davangere Butter Dosa Hotel,Quick Bites,South Indian,3.8,150.0
David's Kitchen,Quick Bites,"North Indian, South Indian, Chinese",3.5,200.0
Davis Bar And Restaurant,Bar,"North Indian, Finger Food, Chinese",3.0,700.0
Dawat,Quick Bites,"North Indian, Chinese",3.5,400.0
Dawat E Biryani,Quick Bites,Biryani,2.8,200.0
Dawat Midnight Express,"Takeaway, Delivery","North Indian, Chinese",3.1,450.0
Day N Night Kitchen,Delivery,"Biryani, Chinese, North Indian",3.2,450.0
Dazu Momoz,Kiosk,"Tibetan, Momos",3.1,200.0
D'Brooks,Quick Bites,"North Indian, Continental",3.4,400.0
D'Cafe,Cafe,"Cafe, Coffee, Continental",3.8,500.0
De Grand,Casual Dining,"North Indian, Chinese",3.3,600.0
De Grand Restaurant,Quick Bites,"North Indian, Chinese",3.8,600.0
De Oxford Cafe,Cafe,"Cafe, Beverages, Fast Food",3.7,500.0
de Ranthal,Quick Bites,Kerala,3.8,300.0
De Street Cafe,Cafe,Cafe,3.6,500.0
De Thaali,Casual Dining,"North Indian, Chinese",3.9,550.0
De3 - The Eatery,Food Truck,Fast Food,3.1,250.0
Debby's Kitchen,Quick Bites,"Modern Indian, American, Chinese",3.6,250.0
Deccan House,Quick Bites,"Hyderabadi, Biryani",4.0,350.0
Deccan Kitchen,Casual Dining,"South Indian, North Indian",3.6,700.0
Deccan Spice,Casual Dining,"North Indian, South Indian, Biryani",3.5,750.0
Deccan Spices,Quick Bites,"Biryani, Mughlai, Fast Food",3.7,500.0
Decker's Lane,Quick Bites,Bengali,2.1,400.0
Deejas Kitchen,"Takeaway, Delivery","South Indian, Kerala",3.9,400.0
Deepak Fast Food,Quick Bites,Fast Food,3.3,350.0
Deepak Paratha Plaza,Quick Bites,"North Indian, Street Food",3.5,200.0
Degchi Restaurant,Casual Dining,North Indian,3.7,600.0
Dehati Murgee,Quick Bites,"North Indian, Mughlai",4.0,600.0
Deja Vu Resto Bar,Pub,"North Indian, Italian",4.4,900.0
Delhi Base Sri Food Court,Quick Bites,"North Indian, South Indian, Chinese, Street Food",3.9,250.0
Delhi Belli,"Takeaway, Delivery",North Indian,3.3,500.0
Delhi Bhavan,Quick Bites,"Street Food, Mithai",3.3,150.0
Delhi Biryani Cafe,Quick Bites,"North Indian, Biryani",3.4,250.0
Delhi Delight Food Cafe,Quick Bites,"Chinese, North Indian",3.1,200.0
Delhi Food Point,Quick Bites,"North Indian, Beverages",3.3,250.0
Delhi Highway,Casual Dining,"North Indian, Mughlai",4.4,1500.0
Delhi Home Food,Quick Bites,"North Indian, South Indian",3.3,200.0
Delhi Ke Bawarchi,Casual Dining,"North Indian, Chinese, Fast Food",4.0,500.0
Delhi Kitchen,"Takeaway, Delivery",North Indian,2.9,400.0
Delhi Mahal,Quick Bites,"North Indian, Mughlai, Chinese",3.1,400.0
Delhi Mess,Quick Bites,"North Indian, Chinese",4.1,300.0
Delhi Pizza House,Quick Bites,"Pizza, American",3.2,400.0
Delhi Restaurant,Quick Bites,"North Indian, Mughlai, Chinese",3.6,350.0
Delhi Sweets,Quick Bites,"Street Food, Mithai",3.1,100.0
Delhi Walle,Quick Bites,"North Indian, Street Food",3.7,300.0
Delhiciouss,Quick Bites,"North Indian, Sandwich",3.7,300.0
Delhi's Essence,Quick Bites,North Indian,3.6,500.0
Delhite Food,Quick Bites,North Indian,3.4,300.0
Delhiz Taste,Quick Bites,"North Indian, South Indian, Chinese",3.5,400.0
Deli Chats & Sweets,Quick Bites,"Street Food, Mithai",2.8,200.0
Deli Chats and Sweets,Quick Bites,"Street Food, Mithai",4.1,200.0
Deli Counter - Gateway Hotel,Dessert Parlor,Bakery,3.5,500.0
DeliBox.in,Delivery,South Indian,3.7,150.0
Delicacy,Casual Dining,"Chinese, Thai, Momos",3.8,500.0
Delice - Novotel,"Dessert Parlor, Bakery","Desserts, Bakery",3.8,800.0
Delices,Bakery,"Bakery, Desserts",3.1,400.0
Delicious Cakes,Dessert Parlor,Bakery,3.1,400.0
Delicious Demons,Delivery,Continental,3.3,400.0
Delicious Desserts,Delivery,Desserts,3.5,750.0
Delicious Ice Cream Parlour,Dessert Parlor,"Ice Cream, Desserts",3.2,300.0
Delicious Momos,Casual Dining,"Chinese, Momos",4.1,450.0
Delicious Mom's Kitchen,Quick Bites,"Bengali, North Indian",2.8,200.0
Delifusion - Hunger Sorted,Quick Bites,"Continental, Chinese, North Indian",3.3,500.0
Delight Fast Food & Restaurant,Casual Dining,"North Indian, Chinese",2.8,550.0
Delight Food,Casual Dining,"Andhra, Chinese, Biryani",2.6,450.0
Delightz,Dessert Parlor,"Desserts, Fast Food",4.0,300.0
Delish Chinese Fast Food,Quick Bites,"Chinese, North Indian, Biryani",3.2,300.0
Delisias,Bakery,Bakery,2.8,400.0
Delite Chaat House,Quick Bites,"Street Food, Gujarati",3.3,300.0
DeliToons,Quick Bites,"Sandwich, Pizza, Salad",4.0,300.0
Delitz Creamvilla Cafe,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream",3.9,600.0
Delly Belly,Delivery,"North Indian, Mughlai",3.2,400.0
Deshi Fusion Pizza,Delivery,"Pizza, Chinese, Rolls",3.3,750.0
Desi Aahar,Quick Bites,"North Indian, Chinese, Seafood",2.8,400.0
Desi Adda,Quick Bites,"North Indian, Chinese",3.3,300.0
Desi Bites,Casual Dining,"Rajasthani, North Indian, Chinese",3.7,600.0
Desi Breakk,Delivery,North Indian,3.3,150.0
Desi Bytes,Quick Bites,"North Indian, Chinese",2.9,450.0
Desi Chats,Quick Bites,Street Food,3.9,200.0
Desi Chinese,Delivery,"Chinese, North Indian",3.6,400.0
Desi Chinese kitchen,Casual Dining,"Chinese, Asian",3.9,700.0
Desi Chopstick,Quick Bites,North Indian,3.8,400.0
Desi Chulha,Quick Bites,North Indian,3.7,250.0
Desi Cream Junction,Casual Dining,"Chinese, North Indian, Pizza, Italian",3.7,650.0
Desi Dawat,Quick Bites,"North Indian, Fast Food",3.7,400.0
Desi Deck,"Casual Dining, Bar","Mughlai, North Indian, Desserts",3.9,1300.0
Desi Dhaba,Delivery,"North Indian, Chinese",3.3,400.0
Desi Doze,Quick Bites,"North Indian, Fast Food",3.8,400.0
Desi Flavours,Quick Bites,"North Indian, Chinese, Biryani",3.9,400.0
Desi Foodizzz,Casual Dining,"North Indian, Chinese",3.7,600.0
Desi Grill,Quick Bites,"Chinese, North Indian",3.0,400.0
Desi Inn,Quick Bites,North Indian,3.5,300.0
Desi Khana,Quick Bites,"North Indian, Chinese",2.8,300.0
Desi Rasoi,Casual Dining,"Biryani, North Indian, Chinese, Rajasthani",3.8,600.0
Desi Swaad,Quick Bites,North Indian,3.5,400.0
Desi Tadka Khana,"Takeaway, Delivery",North Indian,2.8,400.0
Desi Urbane,Quick Bites,"North Indian, Chinese, Biryani",3.6,450.0
Desi Vdesi,Quick Bites,"Fast Food, North Indian, Rolls",3.8,250.0
Desi Vibes,Casual Dining,North Indian,3.7,400.0
Desi Wok,Quick Bites,"North Indian, Chinese",2.7,500.0
Desi Zaika,Casual Dining,"North Indian, Chinese, Bengali, Fast Food",2.8,450.0
Desipun,Casual Dining,North Indian,4.2,500.0
Despiwich Dragon's Kitchen,Quick Bites,"Chinese, Fast Food",3.8,250.0
Dessert Rose,Dessert Parlor,Desserts,3.5,500.0
Desserts Tree,Sweet Shop,"Mithai, Desserts",3.8,100.0
Dessi Cuppa,Beverage Shop,"Beverages, Fast Food",3.4,250.0
Detox Kitchen,"Takeaway, Delivery","Healthy Food, Beverages, Salad",3.1,500.0
Dev Sagar - Food Street,Quick Bites,Street Food,4.1,200.0
Devanna Dum Biriyani Centre,Quick Bites,"Biryani, South Indian",3.6,300.0
Devi's Cakes N Bakes,Bakery,"Bakery, Desserts",3.6,200.0
Dev's Gugababa,Quick Bites,"Bengali, North Indian, Chinese",3.1,500.0
Dhaba - Estd 1986 Delhi,"Casual Dining, Bar",North Indian,4.4,1100.0
Dhaba Bytes,Casual Dining,North Indian,4.0,650.0
Dhaba Central,Casual Dining,North Indian,3.3,650.0
Dhaba Estd 1986 Delhi,"Casual Dining, Bar","BBQ, Mughlai, Biryani",4.3,1100.0
Dhaba Express,"Takeaway, Delivery","Biryani, Fast Food, North Indian, Chinese",3.7,400.0
Dhaba Shaba,Quick Bites,"North Indian, Fast Food",3.2,250.0
Dhaba Social,Casual Dining,North Indian,4.0,700.0
Dhabeliwala,Kiosk,"Street Food, Beverages, Gujarati",3.8,250.0
Dhadoom,Food Court,"Italian, Mexican, Burger, Fast Food",2.8,450.0
Dhanalakshmi Grand,Quick Bites,"South Indian, North Indian",4.0,300.0
Dhanbad Food Stall,Quick Bites,"Bihari, North Indian, Chinese",2.8,200.0
Dhang Ka Khana,Quick Bites,North Indian,3.7,200.0
Dhanya Nati Style Restaurant,Quick Bites,South Indian,3.1,300.0
Dharwad Line Bazar Mishra Pedha,Sweet Shop,Mithai,3.4,150.0
Dhuaan,Cafe,"Cafe, Continental",3.8,800.0
Dhyaana,Cafe,"Cafe, Healthy Food, Momos",4.3,600.0
Diabetics Dezire Sugarless Sweets and Bakes,"Dessert Parlor, Sweet Shop","Desserts, Mithai",3.3,300.0
Dialogues,Cafe,"Cafe, Continental",4.0,600.0
Dice N Dine,"Casual Dining, Cafe","Continental, Cafe, Italian, Fast Food, Steak",4.3,900.0
Didi's Kitchen,Delivery,"North Indian, Chinese, Fast Food",3.1,400.0
Dil Punjabi,Quick Bites,North Indian,2.6,300.0
Dil Se Dilli,Casual Dining,"North Indian, Mughlai",3.8,700.0
Dil Se Punjabi,Casual Dining,"North Indian, Mughlai, Chinese",3.0,550.0
Diletto,Casual Dining,"North Indian, Chinese",3.5,800.0
Dilish Kitchens,Casual Dining,"North Indian, Chinese",3.7,500.0
Dilli 6,Casual Dining,"North Indian, Chinese",3.2,450.0
Dilli Darbar,Casual Dining,"North Indian, Chinese, Biryani",3.4,500.0
Dilli Dil Se,Casual Dining,North Indian,3.6,400.0
Dilli Dil Se..,Quick Bites,North Indian,3.8,400.0
Dilli Galli,Quick Bites,North Indian,3.6,200.0
Dilli Highway,Delivery,North Indian,3.0,400.0
Dilli in a Box,"Takeaway, Delivery","Fast Food, North Indian",3.7,400.0
Dilli6 Paratha,"Takeaway, Delivery","North Indian, Chinese",3.0,200.0
DilliBite,Quick Bites,"North Indian, Chinese",3.5,600.0
Dindigul Thalappakatti,Casual Dining,"Biryani, Chinese, North Indian, South Indian",2.8,800.0
Dindigul Time Pass Restaurant,Casual Dining,"South Indian, North Indian, Chinese, Biryani",3.2,700.0
Dine @ 9 Paratha Corner,Quick Bites,"North Indian, Chinese",3.6,300.0
Dine Garden Family Restaurant,Quick Bites,"Biryani, South Indian, North Indian, Chinese",3.5,400.0
Dine In,Quick Bites,"Kerala, South Indian, North Indian, Chinese",3.5,400.0
Dine in Restaurant,Quick Bites,"South Indian, North Indian, Chinese",3.4,500.0
Dine One One Restaurant,Casual Dining,"South Indian, Continental, North Indian",3.6,500.0
Dinemaster Gogo's,Quick Bites,"Chinese, Rolls, Beverages",3.4,300.0
Dinepost 9,Delivery,"North Indian, Chinese, Biryani",3.6,450.0
DinePost9,Delivery,"North Indian, South Indian, Chinese, Continental",3.8,450.0
Dining Hut,Quick Bites,"North Indian, Chinese, South Indian",3.5,400.0
Dipd N Chocolate,Cafe,"Cafe, Desserts",2.8,300.0
District 6 Pub Brewery & Kitchen,Microbrewery,"German, European, Pizza, American, North Indian, Chinese",4.3,1800.0
Dive,"Pub, Casual Dining","Continental, Finger Food",4.3,1300.0
Divina - Eden Park Restaurants,Dessert Parlor,Desserts,4.0,400.0
Diya's Findish,Quick Bites,"North Indian, Chinese, Bengali",3.3,500.0
Django,Cafe,"Cafe, Italian, Pizza, Burger, Beverages",4.0,800.0
Dock Frost'd,"Beverage Shop, Dessert Parlor","Beverages, Desserts",4.6,400.0
Doctor Juice,Beverage Shop,"Juices, Healthy Food",3.9,300.0
Dodda Mane Baaduta,Quick Bites,"North Indian, South Indian, Chinese, Biryani",3.5,250.0
Dodda Mane Donne Biryani,Quick Bites,"Biryani, Beverages, South Indian",3.1,400.0
Doff Pub and Lounge,Lounge,"Continental, American, Pizza, North Indian, Chinese, Finger Food, Asian, Thai",4.1,1500.0
Dolci Desserts,"Cafe, Dessert Parlor","Cafe, Desserts",4.3,750.0
Dolphin Bar,"Casual Dining, Pub","Chinese, Finger Food, North Indian, Seafood",3.8,1000.0
Domino's Pizza,Quick Bites,"Pizza, Fast Food",2.4,400.0
Doner Bel,Quick Bites,"Turkish, Chinese",3.4,400.0
Donne Biriyani Angadi Mane,Quick Bites,"Biryani, Chinese",3.4,250.0
Donne Biriyani House,Quick Bites,Biryani,3.1,300.0
Donne Biriyani Mane,Casual Dining,"Biryani, Kebab",3.8,400.0
Donne Biryani,Quick Bites,Biryani,3.2,200.0
Donne Biryani & Egg Rice Adda,Quick Bites,"Kebab, Biryani",3.3,200.0
Donne Biryani & Kabab Corner,Quick Bites,"Chinese, Biryani",3.3,200.0
Donne Biryani Angadi Mane,Quick Bites,"Biryani, South Indian",3.1,250.0
Donne Biryani Hatti,Quick Bites,Biryani,3.6,300.0
Donne Biryani House,Delivery,"South Indian, Biryani",3.7,350.0
Donne Biryani Kuteera,Quick Bites,Biryani,3.7,200.0
Donne Biryani Mane,Quick Bites,Biryani,3.2,300.0
Donut Cafe,"Dessert Parlor, Quick Bites","Desserts, Fast Food",3.9,250.0
Doof,Delivery,"Fast Food, Beverages",4.0,450.0
Dosa Bazaar,Quick Bites,"Street Food, South Indian",3.9,200.0
Dosa Cafe,Quick Bites,South Indian,3.4,80.0
Dosa Corner,Quick Bites,South Indian,2.8,200.0
Dosa Plaza,Quick Bites,"South Indian, North Indian, Chinese, Beverages",3.8,200.0
Dosa Time,Takeaway,South Indian,3.8,200.0
Dosalicious,Quick Bites,South Indian,3.3,150.0
Dose Manjanna,Quick Bites,South Indian,2.8,100.0
Dot.yum - Aloft Hotel,Casual Dining,"Italian, North Indian, Continental, BBQ",3.9,2000.0
Double Blend,Beverage Shop,"Beverages, Juices, Ice Cream",3.6,200.0
Double Decker,"Bar, Casual Dining","Continental, North Indian",4.3,1300.0
Downtown,Pub,"North Indian, Continental",3.7,1000.0
Dr. Bubbles,"Beverage Shop, Dessert Parlor","Beverages, Desserts",4.2,400.0
Dr. Harry's Chick Blast,Quick Bites,Continental,3.5,500.0
Dr. Shawarma,Quick Bites,"North Indian, Rolls, Street Food",3.5,200.0
Dr. Sheesha,Cafe,"Cafe, Chinese, Continental, Italian",4.1,800.0
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Cafe,"Cafe, Continental, North Indian",4.1,900.0
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Cafe,"Cafe, Continental, North Indian",4.0,900.0
Dragon Box,Takeaway,"Chinese, Momos",3.0,450.0
Dragon's Kitchen,Casual Dining,Chinese,3.1,500.0
Drava,Lounge,"Pizza, Continental, North Indian, Asian",4.3,1500.0
Dream a Dozen,Delivery,"Bakery, Desserts",4.3,300.0
Dream Coffee House,Cafe,"Cafe, Bakery",3.2,300.0
Dream Scoopers,Dessert Parlor,"Ice Cream, Desserts",3.4,200.0
Dreamcatcher,Cafe,Cafe,3.9,600.0
Dreamland Food Corner,Quick Bites,"Fast Food, Desserts",3.7,400.0
Dreams Cafe - All Day English Food St.,Cafe,"Cafe, Continental, Burger",3.8,600.0
Dream's Kitchen,Casual Dining,"North Indian, Andhra, Chinese",3.1,700.0
Driven Cafe,Cafe,"Cafe, Beverages, Fast Food",3.4,600.0
Drunken Monkey,"Beverage Shop, Quick Bites","Beverages, Fast Food",3.1,400.0
Drunkling - Sizzlers and Pub,"Casual Dining, Bar","Chinese, Continental, North Indian, Burger, Pizza, Seafood",4.4,1000.0
Dry Dock Cafe,Quick Bites,"Street Food, Tea",3.6,200.0
DS Juice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Grill,Quick Bites,"Fast Food, Juices, Chinese",3.2,200.0
Dtink Lab,Quick Bites,"Beverages, Sandwich",2.8,80.0
Dublin - ITC Windsor,Bar,European,4.1,2500.0
Dum & Oven,Casual Dining,"North Indian, Hyderabadi, Continental",3.7,600.0
Dum Biryani Hub,Quick Bites,Biryani,3.9,700.0
Dum Pukht Jolly Nabobs - ITC Windsor,Fine Dining,North Indian,4.3,4000.0
Dunkin' Donuts,"Quick Bites, Dessert Parlor",Desserts,2.8,300.0
Durbar Greens Family Restaurant,Casual Dining,"North Indian, Chinese, South Indian",3.6,700.0
Durbari Restaurant,Casual Dining,"North Indian, Chinese, Mughlai",3.2,600.0
Durga Bikaner Sweets,Quick Bites,"Street Food, Mithai",3.7,100.0
Durga Mess,Mess,North Indian,3.6,150.0
Durga Sagar,Quick Bites,South Indian,3.3,150.0
DVG Benne Dosa,Quick Bites,South Indian,4.0,150.0
Dwaraka Grand,Casual Dining,"South Indian, Chinese, Street Food, Juices",3.9,500.0
Dwaraka Krishna,"Takeaway, Delivery","North Indian, Biryani, Chinese",3.7,500.0
Dyu Art Cafe,Cafe,"Cafe, Italian, Fast Food",4.5,800.0
D-Zaprino,"Takeaway, Delivery","Fast Food, Burger, Pizza",2.8,350.0
E - City Combos,"Takeaway, Delivery","South Indian, North Indian, Chinese, Biryani",3.5,350.0
E Foods Regalia,Quick Bites,"South Indian, Chinese",3.1,550.0
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,Delivery,"Chinese, North Indian, Biryani",3.5,550.0
Eagle Bar & Restaurant,"Casual Dining, Bar","North Indian, Chinese",3.1,700.0
Eagle Ridge,Casual Dining,"South Indian, North Indian, Chinese",3.2,700.0
Eagles Pizza,Casual Dining,"Pizza, Italian",3.6,400.0
Earth Plate Express,Food Court,"Italian, Continental",3.9,600.0
Earthen Bowl,Cafe,"Cafe, Italian",3.9,700.0
East Delicious,Casual Dining,"Chinese, Thai",4.0,600.0
East- The Oterra,Fine Dining,"Chinese, Vietnamese, Thai, Malaysian",4.0,2200.0
Easy Bites,"Takeaway, Delivery","Fast Food, Sandwich",2.8,300.0
Easy Tiger,"Bar, Casual Dining","Finger Food, Continental",4.3,1100.0
Eat & Drink,"Quick Bites, Beverage Shop","Fast Food, Chinese, Beverages",3.5,300.0
Eat And Be Fit,Quick Bites,"Biryani, Rolls, North Indian",2.8,250.0
Eat At Nite,"Takeaway, Delivery","North Indian, Chinese, Rolls",3.0,400.0
Eat Eroo - Bombay Vada Pav,Quick Bites,"Street Food, Maharashtrian",3.3,200.0
Eat Eroo - South China,Quick Bites,"South Indian, Chinese",3.8,350.0
Eat Food,Delivery,"North Indian, Fast Food, Biryani, Beverages",2.8,400.0
Eat N Drink,Quick Bites,Fast Food,3.8,250.0
Eat N Drinks,Quick Bites,"Kerala, Beverages",3.4,150.0
Eat N Meet,Quick Bites,"Kerala, South Indian, North Indian, Chinese, Beverages",2.7,500.0
Eat N Pack,Quick Bites,Kerala,3.3,150.0
Eat Repeat,Quick Bites,South Indian,3.9,150.0
Eat Repeat Express,Casual Dining,"North Indian, South Indian, Chinese, Biryani, Mexican",3.2,700.0
Eat Sleep Eat Repeat,Quick Bites,"Chinese, North Indian, Continental",3.5,200.0
Eat Street,Quick Bites,"North Indian, Chinese, Italian, Street Food, Desserts",4.2,600.0
Eat up's Cloud Kitchen,Delivery,"Arabian, BBQ, Biryani, Chinese, Continental, Ice Cream, North Indian, South Indian",2.8,200.0
Eat Well,Delivery,"North Indian, Chinese",2.9,400.0
eat.fit,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",4.4,500.0
Eatapita,Quick Bites,"Arabian, Pizza, Greek, Lebanese, Mediterranean",4.0,600.0
Eatato Snack Bar,Casual Dining,"North Indian, Fast Food",3.3,400.0
Eaternet,Quick Bites,"North Indian, Chinese, Street Food",3.6,300.0
Eater's Cart,"Takeaway, Delivery","Chinese, Continental, North Indian, South Indian",3.5,250.0
Eatery Have U Been,"Cafe, Quick Bites","Cafe, Chinese, Fast Food, Burger, North Indian",3.4,500.0
Eating Love,Cafe,"Cafe, Italian, Pizza",4.3,800.0
Eatsaa,Quick Bites,Chinese,3.5,300.0
Eatsomnia,Delivery,"North Indian, South Indian, Chinese, Continental",2.8,500.0
Eatsy,"Takeaway, Delivery","North Indian, South Indian",3.5,300.0
Eatwell Restaurant,Quick Bites,"Biryani, Chinese, North Indian",3.0,400.0
Eatzgreen,Quick Bites,"Healthy Food, South Indian, Fast Food, North Indian, Beverages",3.8,500.0
Ebony,Casual Dining,"North Indian, South Indian",4.3,1500.0
EC Dine Restaurant,Casual Dining,"South Indian, North Indian, Kerala",3.4,500.0
ECHOES Koramangala,"Cafe, Casual Dining","Chinese, American, Continental, Italian, North Indian",4.7,750.0
Eddy's Cafe,Cafe,"Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",4.1,750.0
Eden Huts Dhaba,Casual Dining,"Chinese, North Indian",3.6,500.0
Eden Huts Restaurant,Casual Dining,"Chinese, North Indian",4.0,400.0
Eden Park,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",4.1,1100.0
Edo Restaurant & Bar - ITC Gardenia,Fine Dining,Japanese,4.3,4000.0
Egg House,Quick Bites,"Continental, Italian, Fast Food",2.9,400.0
Egg Star,Delivery,"Healthy Food, Sandwich",3.6,300.0
EggFactor - Street House,Kiosk,Fast Food,4.1,200.0
Eggstacy,Quick Bites,"Fast Food, Continental, Chinese",4.0,500.0
Eggzotic,Quick Bites,"North Indian, Chinese, Biryani, Fast Food",3.9,500.0
El Salver,Casual Dining,"Biryani, Chinese, Continental, North Indian, Kerala, South Indian",3.9,700.0
Elegant Dining,Casual Dining,"Biryani, North Indian, Chinese",3.6,700.0
Elements - Mapple Express,Casual Dining,"North Indian, Chinese, Fast Food",2.9,600.0
Elements Eatery,Casual Dining,"Continental, Steak",4.0,1100.0
Ella's Petscape Cafe,Cafe,"Cafe, Fast Food, Sandwich, Pizza",4.0,700.0
Elmas Restaurant,Casual Dining,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",3.4,650.0
Elongo's,Bar,"Finger Food, South Indian, Continental",3.9,900.0
Ember The Calabash,Cafe,"Cafe, Italian, Continental, Beverages",4.1,800.0
Embers - Nandhana Grand Hotel,Casual Dining,"North Indian, South Indian, Thai, Chinese, Continental",3.8,900.0
Empark Inn Restaurant,Quick Bites,"North Indian, Chinese, South Indian",3.7,350.0
Empire Juice Shop,Beverage Shop,Juices,2.7,150.0
Empire Restaurant,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",3.7,750.0
Enchanted Garden,"Casual Dining, Cafe","North Indian, Continental, Italian, Cafe",4.3,1400.0
Encyclofoodia,Quick Bites,"Kerala, North Indian",3.9,350.0
Energy Addaa,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",4.2,500.0
Enerjuvate Studio & Cafe,Cafe,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",4.2,800.0
Engine,"Casual Dining, Bar","Biryani, South Indian, North Indian, Chinese, Mughlai",3.3,950.0
English Channel,Pub,Finger Food,3.7,1200.0
Enroute,Quick Bites,"Continental, Fast Food",3.1,300.0
Ente Keralam,Casual Dining,"Kerala, Seafood",4.0,1300.0
Entree cafe,"Cafe, Bakery","Cafe, Bakery, Desserts",3.7,400.0
Entropy Cafe,Cafe,"Cafe, Chinese, Pizza, North Indian, Burger",4.1,600.0
Envy,Lounge,Finger Food,3.4,1000.0
Epic Biryani,"Takeaway, Delivery","Biryani, Kebab",2.8,300.0
Equinox Bar - DoubleTree Suites By Hilton,Lounge,"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food",3.9,1900.0
Erivum Puliyum,Quick Bites,"Kerala, South Indian, Seafood",3.9,500.0
Esfahan Restaurant,Casual Dining,"North Indian, Lucknowi, Mughlai, Biryani",3.5,700.0
Eshanya,Casual Dining,"North Indian, Chinese",4.1,1000.0
Eshmeet Da Dhaba,Casual Dining,"North Indian, Chinese",3.1,500.0
Esplanade,Casual Dining,Bengali,4.3,1000.0
Essential Kitchen,Quick Bites,"Chinese, Fast Food",3.3,500.0
Estaa Sweets,Sweet Shop,Mithai,3.3,300.0
Estia - Aloft Hotel,Casual Dining,Mediterranean,4.1,1600.0
Eten,Delivery,"Salad, Healthy Food",3.8,600.0
Euki,Casual Dining,"Italian, Mexican",4.0,900.0
Eunoia,"Cafe, Bakery","Cafe, Continental, Bakery",3.4,450.0
Eurasia Pasta and Barbeque by Little Italy,"Casual Dining, Bar","Italian, Fast Food, Salad, BBQ",4.0,1200.0
Excelsior Bakery,Bakery,Bakery,3.6,100.0
Express Food Delivery,Delivery,"North Indian, Chinese",2.8,500.0
Expresso Restaurant,"Takeaway, Delivery","Fast Food, Beverages",3.5,400.0
F Juice,Beverage Shop,"Juices, Fast Food",2.8,200.0
F3 Food Fun Fiesta,"Takeaway, Delivery","Chinese, Fast Food, North Indian",3.3,500.0
F5,Quick Bites,"North Indian, South Indian, Chinese, Continental, Arabian",3.2,300.0
Faasos,Delivery,"North Indian, Biryani, Fast Food",3.8,500.0
FAB Cafe,Quick Bites,"Fast Food, Beverages",3.1,250.0
Fabcafe,Cafe,"Cafe, Healthy Food",2.8,800.0
Fabelle Chocolate Boutique - ITC Gardenia,Dessert Parlor,"Desserts, Ice Cream, Beverages",4.5,1250.0
Fabelle Chocolate Boutique - ITC Windsor,Dessert Parlor,"Desserts, Ice Cream, Beverages",4.2,1250.0
Fabindia Cafe,Cafe,"Cafe, Street Food",4.2,200.0
Facebake,Bakery,"Bakery, Desserts",3.7,300.0
Fahad Hotel,Quick Bites,Fast Food,3.3,200.0
Fai Dang,Casual Dining,"Asian, Continental",3.3,1100.0
Falafal,"Takeaway, Delivery","Healthy Food, Juices",3.3,200.0
Falafel Bistro,Quick Bites,"Arabian, Lebanese, Chinese",3.4,300.0
Falafel's - The Lebanese Haus,Quick Bites,Lebanese,2.9,300.0
Falahaar,Quick Bites,"North Indian, Street Food",3.9,200.0
Falooda Cafe,Quick Bites,"Beverages, Desserts",2.8,200.0
Families Food Court,Quick Bites,"North Indian, Chinese, Biryani, Rolls",3.9,400.0
Famous Dum Biriyani,Kiosk,Biryani,3.1,200.0
Fandom at Gilly's Redefined,Bar,Finger Food,3.8,1500.0
Fanoos,Quick Bites,"Arabian, Rolls, North Indian, BBQ",3.9,400.0
Fanoos Xprss,Quick Bites,"Arabian, Rolls, North Indian, BBQ",3.7,400.0
Farha Real Taste Of Kerala,Quick Bites,Kerala,3.1,300.0
Farzi Cafe,"Casual Dining, Microbrewery",Modern Indian,4.4,1500.0
Fashion Knack Cafe,Cafe,"Cafe, Burger, Sandwich",3.7,250.0
Fast And Fresh,Quick Bites,"North Indian, Chinese, Fast Food",2.8,400.0
Fat Buddha,Casual Dining,"Chinese, Thai",4.0,1000.0
