restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people)
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery","South Indian, North Indian, Fast Food, Chinese",2.8,300.0
99Foods,Quick Bites,"Biryani, North Indian, Chinese, Kebab",3.4,400.0
9D Foods,Quick Bites,"North Indian, Street Food",4.0,400.0
9th Cross Cafe,Cafe,"Cafe, Italian, French",3.6,550.0
A 1 Pizza and Food,Delivery,"Pizza, Chinese, North Indian",2.8,300.0
A Bar,Bar,"North Indian, Continental",3.3,600.0
A Hole Lotta Love Cafe,Cafe,"Cafe, American, Burger, Sandwich, Beverages",4.3,600.0
A Little For Love,Bakery,Bakery,3.4,350.0
A M Biryani Hotel,Quick Bites,"North Indian, Chinese, Biryani, Fast Food",3.3,300.0
A Southern Fair,Casual Dining,"Biryani, Seafood, South Indian",3.0,750.0
A Today Thick Shakes,Beverage Shop,Beverages,3.2,200.0
A.M New Punjab Food Corner,Quick Bites,"North Indian, Chinese",3.5,350.0
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,Biryani,3.2,300.0
A1 Biriyani Point,Quick Bites,Biryani,3.0,200.0
A1 Garam Masala,Casual Dining,"North Indian, Andhra, Chinese",3.6,500.0
A1 Hot Dum Biryani,Quick Bites,Biryani,3.2,150.0
A1 Spice Inn,Casual Dining,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",3.5,500.0
A2B - Adyar Ananda Bhavan,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",2.5,400.0
A2B Veg - Adyar Ananda Bhavan,Casual Dining,"South Indian, Fast Food, Street Food",2.7,400.0
A3 Nuwang Kitchen,Quick Bites,"Chinese, North Indian",3.7,300.0
Aaccord Restaurant,Casual Dining,"Continental, North Indian, Chinese",2.8,600.0
Aadhya Hotel,"Casual Dining, Bar","South Indian, North Indian, Chinese, Biryani",3.3,800.0
Aadvik Nightfood,Delivery,Fast Food,3.6,350.0
Aagaman Veg,Casual Dining,"North Indian, Chinese, South Indian",2.8,900.0
Aaha,Quick Bites,"North Indian, Chinese",3.6,300.0
Aaha Andhra,Casual Dining,"Andhra, Biryani, North Indian",3.4,900.0
Aahar Vihar,Quick Bites,North Indian,4.0,250.0
Aahara Vihar,Quick Bites,"South Indian, North Indian, Chinese",3.5,300.0
Aaharam,Quick Bites,"Chinese, North Indian",4.0,350.0
Aalishan Restaurant & Caterer,Casual Dining,"North Indian, Mughlai",3.5,650.0
Aami Bangali,Casual Dining,Bengali,3.0,700.0
Aami Kolkata,Delivery,Bengali,3.3,600.0
Aao G Khao G,Quick Bites,"North Indian, Chinese",3.5,200.0
Aapni Rasoi,Quick Bites,North Indian,3.2,400.0
Aaranya Restaurant,Casual Dining,"North Indian, Chinese, Mughlai",3.4,800.0
Aarti Paratha & Rolls Corner,Quick Bites,"North Indian, Fast Food",3.6,200.0
Aarya Pork Hotel,Quick Bites,"South Indian, Biryani, Chinese",3.3,300.0
Aashirvaad Restaurant,Quick Bites,"North Indian, Oriya, Chinese",3.1,300.0
Aashish Foods,Quick Bites,North Indian,2.7,150.0
Aasife & Brothers Biriyani Centre,Casual Dining,"Biryani, North Indian, South Indian, Chinese",3.8,600.0
Aastha Bengali Mess,Quick Bites,"Chinese, Bengali",3.9,250.0
Aata's Kitchen,Quick Bites,"South Indian, North Indian",2.8,250.0
Aathithya,Casual Dining,"North Indian, Continental, Chinese",3.1,1100.0
Aathurar,Casual Dining,"Chettinad, Biryani, South Indian, Seafood",3.2,600.0
Abbabi Chicken,Quick Bites,Fast Food,3.7,200.0
Abhiruchi,Casual Dining,"Andhra, Seafood, North Indian, Chinese",3.8,650.0
Abhiruchi Andhra Mess,Mess,"Andhra, Biryani, South Indian",3.1,300.0
Abhiruchi Hotel,Casual Dining,"North Indian, South Indian, Chinese",3.2,500.0
Abhiruchi Moonlight,"Takeaway, Delivery",North Indian,3.3,300.0
Abhiruchi Restaurant,Casual Dining,"Andhra, North Indian, Chinese",3.4,400.0
AB's - Absolute Barbecues,Casual Dining,"European, Mediterranean, North Indian, BBQ",4.6,1400.0
Absolute Chinese,Quick Bites,"Chinese, Fast Food, Momos",3.8,450.0
Absolute Shawarma,"Takeaway, Delivery",Lebanese,2.8,150.0
Absolute Waffles,Dessert Parlor,"Desserts, Fast Food",3.9,200.0
Aburrahaman,Delivery,"North Indian, South Indian, Chinese",2.8,400.0
Abzain Paradise,Quick Bites,North Indian,2.9,300.0
Achayyan's,Quick Bites,"Kerala, South Indian",3.8,350.0
Ackley Kitchen,Quick Bites,"Fast Food, Continental, Burger",3.6,500.0
Adarsh Bakery,Bakery,"Bakery, Fast Food",3.1,300.0
Adda,Quick Bites,South Indian,3.3,300.0
Addhuri Udupi Bhojana,Quick Bites,"South Indian, North Indian",3.7,300.0
Adiga's,Quick Bites,South Indian,3.3,150.0
Adi's Cake N Cafe,Bakery,Bakery,3.3,400.0
Adithya,Casual Dining,"South Indian, North Indian, Chinese",3.9,450.0
Adithya Family Restaurant,Quick Bites,South Indian,3.7,250.0
Adithya Tiffin Centre,"Takeaway, Delivery",North Indian,2.8,200.0
Adithya Veg,Quick Bites,"South Indian, Chinese",3.3,300.0
Aditya Delights,Quick Bites,"Chinese, North Indian, Mangalorean",3.7,300.0
Aditya Sweets,Sweet Shop,"Mithai, Fast Food",3.7,200.0
Aditya Uphar,Quick Bites,"South Indian, Chinese, North Indian",3.5,200.0
Adukkala Restaurant,Casual Dining,Kerala,2.9,600.0
Adupadi,Quick Bites,"South Indian, Chettinad",2.9,450.0
Advika Briyani Center,Delivery,Biryani,3.2,300.0
Adya Hotel,Quick Bites,"South Indian, North Indian, Chinese",3.3,400.0
Adyar Anand Bhavan Sweets,Quick Bites,"South Indian, North Indian, Chinese, Street Food",2.8,200.0
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery","Mithai, Desserts",3.4,200.0
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery","Mithai, Desserts",3.6,200.0
Afghani Tandoori Hub,Quick Bites,"Arabian, Afghan",3.6,400.0
Afoozoo - Ginger Hotel,Casual Dining,"North Indian, Chinese",3.5,800.0
Afrina's Kitchen,"Takeaway, Delivery","Fast Food, Desserts",3.4,250.0
Agarwal Food Service,Delivery,"North Indian, Chinese, Biryani",3.5,400.0
Agent Jack's Bar,Bar,"Continental, North Indian, Italian",4.0,1300.0
Agraharaa,Quick Bites,South Indian,2.8,150.0
Agraharam Meal,"Takeaway, Delivery","North Indian, South Indian",3.7,300.0
Aha Juice Bar,Beverage Shop,"Beverages, Fast Food",3.6,200.0
Ahaan Restaurant,Delivery,"North Indian, Chinese",2.8,300.0
AhimsaAmrit Green Cafe,Casual Dining,"Healthy Food, Salad, Continental",3.4,800.0
Ahmad's Chicken Hut,Quick Bites,"North Indian, Chinese",3.2,200.0
Ahmed's Little Hut,Quick Bites,Fast Food,2.8,250.0
Ahmeds Takeaway Restaurant,"Takeaway, Delivery","North Indian, Chinese",2.8,250.0
Aioli,Casual Dining,"Mediterranean, Continental, Italian, Salad",4.2,1400.0
Airlines Hotel,Quick Bites,"South Indian, North Indian, Street Food",4.0,400.0
Aishwarya,Dhaba,"Chinese, North Indian",3.3,450.0
Aishwarya Parkland,Casual Dining,"Chinese, North Indian",2.9,500.0
Aishwarya Sweets,Sweet Shop,"Mithai, Street Food",3.6,250.0
Aishwarya Uphar,Quick Bites,"South Indian, North Indian",2.8,150.0
Ajwa Thalassery Biryani,Quick Bites,"Biryani, South Indian",3.9,500.0
Akkad Bakkad,Casual Dining,"North Indian, Chinese",3.9,600.0
AKS Family Dhaba And Restaurant,Quick Bites,"North Indian, Mughlai, South Indian",3.6,500.0
Akshara,Casual Dining,"North Indian, South Indian, Chinese",3.8,700.0
Akshatha Nati Style,Quick Bites,"South Indian, Chinese, North Indian",3.7,500.0
Akshaya Bar And Restaurant,"Casual Dining, Bar","North Indian, South Indian, Chinese, Fast Food",2.8,600.0
AKSHAYA BIRYANI,Quick Bites,"Biryani, North Indian",3.6,300.0
Akshaya Deluxe,Casual Dining,"North Indian, Chinese, Seafood, Biryani",4.0,500.0
Akshaya Donne Biriyani,Quick Bites,"Biryani, South Indian, Kebab",3.0,300.0
Akshaya Family Restaurant,Quick Bites,"South Indian, North Indian",3.2,150.0
Akshaya Grand,Casual Dining,North Indian,3.4,750.0
Akshaya Sambrama Veg Restaurant,Quick Bites,"South Indian, Chinese",3.2,200.0
Akss - India Reimagined,Casual Dining,"Modern Indian, North Indian",4.2,1800.0
Al Amal Cafe,"Cafe, Quick Bites","Cafe, Fast Food",4.0,300.0
Al Amanah Cafe,Quick Bites,"Middle Eastern, Fast Food, Rolls",4.4,300.0
Al Ameen Rolls Corner,Quick Bites,Rolls,3.7,200.0
Al Barack Cafetaria,Quick Bites,Arabian,3.6,300.0
Al Daaz,Casual Dining,"North Indian, Continental, BBQ",4.2,550.0
Al Diwan Biryanis And More,"Takeaway, Delivery",Biryani,3.2,300.0
Al Ghani Resetaurant,Quick Bites,"Mughlai, Biryani",3.3,400.0
Al Habibi Restaurant,Quick Bites,"North Indian, Chinese",3.5,300.0
Al Hayath,Quick Bites,"North Indian, Chinese",3.5,200.0
Al Hayath Ambur Biryani,Quick Bites,Biryani,3.3,200.0
Al Khaleej Snacks Corner,Quick Bites,"Lebanese, Fast Food, Beverages",2.8,200.0
Al Khansah,Casual Dining,"Biryani, Mughlai, Chinese, North Indian, Kebab",3.9,550.0
Al Khwaja,Casual Dining,"North Indian, Chinese",3.0,400.0
Al Madhina Roll House,Quick Bites,"North Indian, Chinese",3.4,300.0
Al Madina Family Restaurant,Quick Bites,"North Indian, South Indian, Arabian",2.8,500.0
Al Madina Roll House,Quick Bites,Biryani,3.6,150.0
Al Manar,Quick Bites,"South Indian, North Indian, Chinese",2.8,400.0
Al Noor,Quick Bites,"North Indian, Chinese, Arabian, Rolls",3.7,350.0
Al Sadique,Quick Bites,"North Indian, Mughlai, Chinese, Rolls",3.9,450.0
Al Sadique Restaurant,Quick Bites,"Mughlai, North Indian, Street Food",3.4,350.0
Al Swaad Take Away,Quick Bites,"North Indian, South Indian, Arabian",3.1,350.0
Al Taj Fast Food,Quick Bites,"Fast Food, North Indian, South Indian, Chinese",3.2,600.0
Al Zaiqa Hotel,Quick Bites,"Chinese, South Indian, Fast Food",3.4,200.0
Alampur Bar And Restaurant,Casual Dining,"Chinese, South Indian, North Indian",3.7,900.0
Alankar Restaurant,Casual Dining,"South Indian, North Indian, Chinese",2.8,800.0
Alankrutha,Casual Dining,"Andhra, Biryani, North Indian, Chinese",3.8,500.0
Alba - JW Marriott Bengaluru,Fine Dining,Italian,4.4,4000.0
Al-Badia Restaurant,Casual Dining,Arabian,4.2,700.0
Al-Baik Kabab Corner,Quick Bites,"Kebab, Biryani",3.2,350.0
Al-Baik Tandoori Restaurant,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",3.6,450.0
Al-Bek,Casual Dining,"North Indian, Mughlai, Chinese, Seafood",3.9,650.0
Albert Bakery,Bakery,"Bakery, Fast Food",4.3,150.0
Alchemy - The Chancery Pavilion,"Microbrewery, Casual Dining",Modern Indian,4.3,2000.0
Alchemy Coffee Roasters,Cafe,Cafe,4.2,500.0
Alfa Family Restaurant,Casual Dining,"North Indian, Arabian, Chinese",3.0,400.0
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,"Bar, Casual Dining",Continental,3.7,2000.0
Ali Snacks Point,Quick Bites,"Chinese, Momos",3.4,150.0
Alibaba Cafe and Restaurant,Casual Dining,"Arabian, Middle Eastern",2.9,700.0
Alibi - Maya International Hotel,Casual Dining,"North Indian, Continental, Chinese",1.8,1200.0
AlienSip,Beverage Shop,Juices,3.6,200.0
Alif Restaurant,Casual Dining,"North Indian, Chinese",3.6,600.0
Aligarh House,Delivery,"North Indian, Biryani, Awadhi, Mughlai",4.4,400.0
Alikemom,"Takeaway, Delivery",North Indian,2.8,300.0
All Aromas,Quick Bites,"North Indian, Biryani",2.8,400.0
All Saints Bakery,Bakery,Bakery,3.6,200.0
All Shook Up,"Dessert Parlor, Beverage Shop","Desserts, Beverages",3.6,300.0
All Shook Up!,"Dessert Parlor, Beverage Shop","Desserts, Beverages",3.6,300.0
Allahabadi Tadaka,Casual Dining,North Indian,2.9,250.0
Allana Kabab,Quick Bites,North Indian,3.3,200.0
Alloro - The Oterra,Fine Dining,Italian,4.0,2500.0
Al-Madina,"Takeaway, Delivery","North Indian, Chinese",3.3,500.0
Al-Madina Restaurant,Casual Dining,"Arabian, North Indian, Chinese, Kerala",3.4,400.0
Al-Marhaba Restaurant,Quick Bites,"Arabian, Chinese, North Indian, Rolls, Momos",2.8,400.0
Al-Noor Restaurant,Quick Bites,"Chinese, North Indian, Mughlai",2.8,400.0
Alpha - House of Biryani & Tandoor,Casual Dining,"Biryani, North Indian, Chinese",3.3,800.0
Al-Sidique,Quick Bites,"North Indian, Chinese",4.0,400.0
alt,"Bar, Lounge",Finger Food,4.1,1900.0
Altaf's Chillies Restaurant,Casual Dining,"North Indian, Chinese",3.8,500.0
Altaj Restaurant,Casual Dining,"North Indian, Chinese",3.3,700.0
Al-Taj Restaurant,Casual Dining,"South Indian, North Indian, Chinese",3.3,600.0
Alter Ego D'Deli,Cafe,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",3.8,650.0
Alto Vino - Bengaluru Marriott Hotel Whitefield,Fine Dining,"Italian, Salad",4.3,3000.0
AM WOW,Beverage Shop,Beverages,3.4,100.0
Amadora Gourmet Ice Cream & Sorbet,Dessert Parlor,Desserts,2.8,500.0
Amande Patisserie,Bakery,"Bakery, French, Desserts",4.0,300.0
Amanthrana Gardenia,Casual Dining,"North Indian, Andhra, BBQ, Seafood, Chinese",3.8,800.0
Amantrana,Casual Dining,"North Indian, South Indian",3.2,800.0
Amar Kolkata,Quick Bites,"Bengali, North Indian, Chinese",3.2,300.0
Amara Food Point,"Takeaway, Delivery",South Indian,3.3,250.0
Amaravathi Bar & Restaurant,"Casual Dining, Bar","North Indian, Chinese, Seafood",3.7,400.0
Amaravathi Mess,Quick Bites,"Andhra, Biryani",3.6,400.0
Amaravati,Quick Bites,"North Indian, Chinese",3.6,400.0
Amaravati - Pure Veg Restaurant,Quick Bites,"South Indian, North Indian, Chinese",3.5,350.0
Amaravati Authentic Andhra Restaurant,Casual Dining,"Andhra, Chinese, North Indian, Biryani",3.0,600.0
Amaravati Food Court,Quick Bites,Kerala,3.3,300.0
Amaravati Grand,Casual Dining,"Chinese, Andhra, Mangalorean",3.3,550.0
Amazing Blue Pub,Pub,Finger Food,3.4,900.0
Ambara Gardenia,Casual Dining,"Andhra, North Indian, Chinese, Seafood",3.8,800.0
Ambarsaria,Casual Dining,North Indian,2.7,800.0
Amber Rush by The Pool,"Bar, Casual Dining","North Indian, Chinese, Continental",3.9,1500.0
Amber Rush Restobar,Pub,"Continental, Chinese, Fast Food",4.1,1000.0
Ambika Biryani Corner,Quick Bites,Biryani,3.5,300.0
Ambika Vegetarian Hotel,Casual Dining,"North Indian, Fast Food",3.7,500.0
Ambujam's Chettinad Mess,"Quick Bites, Mess","South Indian, Chettinad",3.2,400.0
Ambur Azad Darbar,Quick Bites,"North Indian, Fast Food, Biryani",3.1,250.0
Ambur Biriyani,Quick Bites,Biryani,3.2,200.0
Ambur Biriyani Centre,Quick Bites,Biryani,3.2,150.0
Ambur Biriyani Classic,Casual Dining,"Biryani, South Indian, North Indian",3.3,700.0
Ambur Biriyani Point,Quick Bites,Biryani,3.6,150.0
Ambur Biriyani Zone,Quick Bites,"Biryani, Kebab",3.2,200.0
Ambur Biryani,Quick Bites,"South Indian, Fast Food",3.2,450.0
Ambur Biryani Hotel,Quick Bites,Biryani,3.2,200.0
Ambur Biryani Mess,Mess,Biryani,3.4,250.0
Ambur Biryani Point,Quick Bites,Biryani,3.3,150.0
Ambur Chicken Biryani,Quick Bites,Biryani,3.1,250.0
Ambur Darbar Biriyani Point,Quick Bites,Biryani,3.2,200.0
Ambur Dum Biriyani,Quick Bites,Biryani,2.8,160.0
Ambur Dum Biryani,Quick Bites,"Biryani, Fast Food",2.8,300.0
Ambur Hot Dum Biriyani,Quick Bites,Biryani,3.1,200.0
Ambur Hot Dum Biryani,Quick Bites,Biryani,3.0,200.0
Ambur Star Biryani,Quick Bites,Biryani,3.5,200.0
Ambur Star Briyani,Casual Dining,"North Indian, Chinese, Biryani",3.6,500.0
Ambur Star Dum Biriyani,Quick Bites,Biryani,3.2,200.0
Ambur Star Dum Biryani,Quick Bites,Biryani,2.8,250.0
Ambur Tasty Biriyani,Quick Bites,Biryani,3.2,200.0
Amchoor,Quick Bites,"North Indian, Beverages",3.8,250.0
Amdo's Corner Tibetan Foods,Quick Bites,"Tibetan, Momos",4.0,250.0
American Bites,Quick Bites,"Fast Food, Burger, Pizza",2.4,450.0
American Desserts,"Takeaway, Delivery","Desserts, Bakery",3.6,500.0
Amexicano,Food Truck,"American, Mexican",3.8,400.0
Amigos Kitchen,Quick Bites,"Chinese, North Indian, Mexican, Fast Food",3.7,400.0
Amjad Bhai's Star Hotel - Home Food Only,Quick Bites,"North Indian, South Indian",2.8,300.0
Ammachide Addukala,Quick Bites,Kerala,3.5,300.0
Amma's Biryani & Rice,Quick Bites,"Biryani, Fast Food",2.8,300.0
Amma's Cafe,Quick Bites,Fast Food,3.2,300.0
Amma's Pastries,Bakery,Bakery,3.9,400.0
Ammi's Biryani,Casual Dining,"Biryani, North Indian",2.7,500.0
Ammus Hot N Cool,Quick Bites,"North Indian, Chinese",3.4,300.0
Amnesia - The Poolside Bar,"Casual Dining, Bar","North Indian, Chinese, Continental",3.7,2000.0
Amoeba Sports Bar,"Lounge, Bar","Continental, Chinese",3.9,1000.0
Amontron,Casual Dining,Bengali,3.9,650.0
Amour Fine Patisserie,"Cafe, Dessert Parlor","Cafe, Desserts, Continental",4.0,500.0
Amravathi Restaurants & Caterers,Quick Bites,"North Indian, Chinese",3.1,400.0
Amrit,Food Court,"North Indian, Seafood",3.4,600.0
Amrita Nadia Sweets,Sweet Shop,Mithai,3.2,400.0
Amrith Ice Cream,Dessert Parlor,Ice Cream,4.1,100.0
Amritsari Kulcha Bite,Quick Bites,North Indian,3.9,150.0
Amritsari Kulcha Land,Quick Bites,North Indian,4.0,300.0
Amrut,Quick Bites,"North Indian, Chinese, Fast Food",3.5,300.0
Amruta,Casual Dining,"South Indian, North Indian, Chinese",3.8,600.0
Amruth Parkland,"Bar, Casual Dining","North Indian, Chinese",3.5,900.0
Amrutha Foods,Quick Bites,South Indian,2.8,300.0
Amrutha Grand Restaurant,Casual Dining,"North Indian, Biryani, Chinese",3.2,500.0
Amrutha Mess,Quick Bites,Kerala,3.4,300.0
Amrutha Sweets,Quick Bites,"Street Food, Mithai",3.5,200.0
AM's Cafe Recreate,"Takeaway, Delivery","Chinese, North Indian",3.3,250.0
Amul Ice Cream,Dessert Parlor,"Desserts, Ice Cream",2.8,100.0
An Egg Story,Cafe,"Cafe, Continental, American, Italian",4.0,600.0
Anamika Roll Centre,Quick Bites,"North Indian, Fast Food, Rolls",3.2,300.0
Anand Donne Biriyani,Quick Bites,Biryani,3.6,200.0
Anand Sagar Inn,Casual Dining,"South Indian, North Indian, Chinese",3.2,450.0
Anand Sweets and Savouries,Quick Bites,"Mithai, Street Food",4.0,400.0
Anda Ka Funda,Quick Bites,"North Indian, Chinese",3.1,300.0
Anda Special-Pav Bhaji,Quick Bites,Fast Food,3.4,200.0
Andal Mess,Mess,"Biryani, South Indian, North Indian",3.1,300.0
Ande Ka Funda,Quick Bites,"North Indian, Fast Food, Rolls",2.8,250.0
Andhra Amigos,Casual Dining,"Andhra, North Indian, Biryani",3.6,350.0
Andhra Bhojanam,Casual Dining,"North Indian, South Indian, Andhra",3.6,600.0
Andhra Biriyani Palace,Quick Bites,"Biryani, Andhra",2.8,250.0
Andhra Biryani & Curries,Quick Bites,"North Indian, South Indian, Chinese, Andhra, Biryani",3.1,400.0
Andhra Biryanis,Casual Dining,"Andhra, Biryani, North Indian",4.0,700.0
Andhra Box,Quick Bites,"Andhra, Biryani, Chinese",3.2,400.0
Andhra Central,Food Court,Andhra,3.1,400.0
Andhra Chettinad Cuisine,Quick Bites,"Andhra, South Indian, Chettinad",3.6,250.0
Andhra Express,"Takeaway, Delivery","Andhra, Biryani, North Indian, Beverages",3.7,300.0
Andhra Food Cafe (AFC),Quick Bites,"Andhra, North Indian, South Indian",3.3,250.0
Andhra Ghumaghumalu,Quick Bites,"Andhra, Biryani, North Indian",2.8,300.0
Andhra Grills,Casual Dining,"Andhra, North Indian, Biryani",3.0,800.0
Andhra Kafe,Casual Dining,"Andhra, South Indian, North Indian, Biryani",3.8,550.0
Andhra Kitchen,Quick Bites,Andhra,3.9,400.0
Andhra Mess,Mess,"Andhra, Biryani, Chinese",2.8,400.0
Andhra Paris,Quick Bites,Andhra,3.2,250.0
Andhra Ruchi's Restaurant,Delivery,"Andhra, North Indian, Biryani",3.1,500.0
Andhra Ruchulu,Casual Dining,"Andhra, North Indian",4.2,800.0
Andhra Spice,Casual Dining,"North Indian, Hyderabadi, Chinese, South Indian, Beverages, Desserts",2.8,600.0
Andhra Spice Mess,Quick Bites,"Andhra, Biryani, North Indian, Chinese",3.4,250.0
Andhra Spicy,Quick Bites,"Andhra, Biryani",3.5,400.0
Andhra Spicy Food Court,Quick Bites,"Andhra, Biryani",3.2,400.0
