restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Taco Alfresco,Restaurant,"Cafe, Mexican, Beverages",4.2,400.0,Kothrud,Pune
Mughal Sarai,Restaurant,"North Indian, Chinese, Mughlai, Italian",4.1,1500.0,Kondhwa,Pune
Reddy's Hyderabadi Biryani,Restaurant,"Biryani, North Indian, Hyderabadi",3.8,600.0,Pimpri,Pune
Raavsaab,Restaurant,"North Indian, Chinese, Kebab",3.8,800.0,Sus,Pune
Biryani Katta,Restaurant,Biryani,3.5,300.0,Kothrud,Pune
BBQ Ride India,Restaurant,"Fast Food, BBQ",3.9,200.0,Wakad,Pune
The Wadapav Cafe - Elite,Restaurant,"Street Food, Fast Food, Beverages, Ice Cream",3.8,650.0,Bavdhan,Pune
Raaga Thali & Pure Veg Restaurant,Restaurant,"Maharashtrian, Fast Food, South Indian, North Indian",3.9,500.0,Chinchwad,Pune
Rajsthani Rasoi,Restaurant,"North Indian, Rajasthani",3.8,350.0,Kharadi,Pune
Panchavati Gaurav,Restaurant,"Gujarati, Rajasthani",3.7,500.0,Baner,Pune
Supriya Restaurant,Restaurant,"Fast Food, Chinese, North Indian, South Indian",4.0,500.0,Camp Area,Pune
Durga Hotel,Restaurant,"Fast Food, South Indian",4.2,300.0,Kothrud,Pune
Niranjan Veg Restaurant,Restaurant,"South Indian, North Indian, Chinese, Fast Food",3.9,700.0,FC Road,Pune
Burger Box,Restaurant,"Fast Food, Beverages",0.0,200.0,Wadgaon Sheri,Pune
Fulka,Restaurant,"North Indian, Chinese",3.3,350.0,Dhole Patil Road,Pune
Yaa Rawaji - Fantastic Food,Restaurant,"Maharashtrian, North Indian, Mangalorean, Chinese",3.9,600.0,Baner,Pune
The Farm Cafe,Restaurant,"Fast Food, Beverages",0.0,500.0,Hadapsar,Pune
Mother's Kitchen,Restaurant,"North Indian, Chinese, Mughlai",4.0,700.0,Hinjawadi,Pune
GeoBistro,Restaurant,"North Indian, European, Continental, Chinese, Italian",4.3,1200.0,Viman Nagar,Pune
Vimanzza Cafe,Restaurant,"Cafe, Salad, Biryani, Chinese, Continental, Italian, Desserts, Pizza",4.0,550.0,Viman Nagar,Pune
The Cheesecake Pops,Restaurant,Desserts,4.3,300.0,Koregaon Park,Pune
Shree Krishna Veg Court,Restaurant,"North Indian, Chinese, South Indian, Fast Food",3.8,900.0,Viman Nagar,Pune
The Basil Deck,Restaurant,"North Indian, Continental, Italian, Beverages",4.0,1200.0,Bibvewadi,Pune
Flavoro'so,Restaurant,"Bengali, Asian, North Indian, Chinese",3.9,900.0,Viman Nagar,Pune
The Majestic,Restaurant,"Continental, Chinese, North Indian, Thai, Mughlai, Seafood, Italian, Mexican",3.9,1100.0,Akurdi,Pune
Curry & More,Restaurant,"North Indian, Salad, Chinese, Maharashtrian",3.6,400.0,Hadapsar,Pune
Headquarterss,Restaurant,"North Indian, Chinese, Continental, Bar Food",3.7,1700.0,Mundhwa,Pune
XOzero,Restaurant,"North Indian, Chinese, Continental",4.0,1800.0,Sus,Pune
1st Story - Bar. Kitchen. Co-Work,Restaurant,"Continental, North Indian, Asian, Tex-Mex",4.7,1800.0,Viman Nagar,Pune
Peter's Pan,Restaurant,"Cafe, American, Continental",4.2,500.0,Wanowrie,Pune
Master Egg,Restaurant,"Fast Food, Healthy Food",3.4,300.0,Baner,Pune
Padmaja Family Restro & Bar,Restaurant,"North Indian, Chinese, Continental, Beverages",0.0,600.0,Katraj,Pune
It's Mirchi - Ramee Grand Hotel,Restaurant,Finger Food,3.8,1800.0,Shivaji Nagar,Pune
Dadu's Sweet Emporio,Restaurant,"Mithai, Street Food, North Indian, Bengali, Desserts, Beverages, Bakery, Fast Food",4.0,300.0,Baner,Pune
Food Palace,Restaurant,"Chinese, North Indian, Kebab, Mughlai",3.4,600.0,Pimpri,Pune
Subway,Restaurant,"Fast Food, Healthy Food, Sandwich, Salad",2.9,500.0,Kothrud,Pune
The Beer Cafe,Restaurant,"Finger Food, North Indian, Italian, Continental",3.8,1500.0,Viman Nagar,Pune
Neer Southern Kitchen & Bar,Restaurant,"Mangalorean, South Indian, North Indian, Chinese",3.7,1100.0,Wakad,Pune
Chandra Cafe,Restaurant,"Chinese, North Indian, Rolls",3.8,450.0,Kothrud,Pune
RK'S Family Restro & Bar,Restaurant,"North Indian, Chinese, Kebab, Mughlai, Seafood",3.7,1000.0,Narhe,Pune
World of Desserts,Restaurant,"Ice Cream, Desserts, Bakery, Tea",4.0,400.0,Koregaon Park,Pune
Ganesh Bhel,Restaurant,"North Indian, South Indian, Chinese, Continental",3.9,550.0,FC Road,Pune
New Naaz Cateres Biryani House,Restaurant,Biryani,3.4,250.0,Wadgaon Sheri,Pune
How I Mangalore,Restaurant,"Mangalorean, South Indian",4.2,500.0,Pashan,Pune
Lazeez By Hyderabadi Delicacies,Restaurant,"Mughlai, North Indian, Biryani, Kebab",3.7,700.0,Viman Nagar,Pune
3 Spices - DoubleTree By Hilton Hotel,Restaurant,"North Indian, Asian, Italian, European",3.8,1500.0,Chinchwad,Pune
Shivshakti Pure Veg,Restaurant,"North Indian, Chinese, Pizza, South Indian, Fast Food",3.8,700.0,Kharadi,Pune
Coffee House,Restaurant,"Chinese, North Indian, South Indian, Fast Food, Beverages",3.9,550.0,Camp Area,Pune
Priya,Restaurant,"South Indian, Fast Food, Beverages",4.2,300.0,MG Road,Pune
OC - The Oriental Cuisine,Restaurant,"Chinese, Japanese, Thai",0.0,650.0,Viman Nagar,Pune
Golden Dragon,Restaurant,Chinese,3.8,650.0,Kothrud,Pune
Cafe Momos,Restaurant,"Momos, Beverages",4.0,250.0,Kothrud,Pune
The 1st Floor,Restaurant,"North Indian, Mughlai, Chinese, Rolls, Biryani",3.8,800.0,FC Road,Pune
Hyderabadi Zaika,Restaurant,"Biryani, Kebab",3.7,300.0,Kharadi,Pune
Poona Burger Project,Restaurant,Fast Food,4.0,300.0,Katraj,Pune
The Pasta Bistro,Restaurant,"Italian, Beverages, Desserts",3.5,400.0,Balewadi,Pune
Yahoo!!! Momos,Restaurant,"Momos, Ice Cream",3.7,300.0,Kothrud,Pune
Oregano Pizza,Restaurant,"Pizza, Fast Food, Italian",4.0,550.0,Kothrud,Pune
Mayur Refreshments,Restaurant,"Ice Cream, Street Food",3.7,200.0,Kharadi,Pune
Mmyra Lounge,Restaurant,"North Indian, Chinese, Continental",3.8,1300.0,FC Road,Pune
Le Petit Amour Patisserie & Bistro,Restaurant,"Cafe, French, European, Desserts, Salad",4.4,800.0,Kothrud,Pune
Bread Bash,Restaurant,Fast Food,0.0,200.0,Kothrud,Pune
The Big Bang Burger,Restaurant,Burger,3.6,300.0,Kondhwa,Pune
Punjab Grill,Restaurant,"North Indian, Mughlai",4.2,2000.0,Viman Nagar,Pune
Royal China,Restaurant,"Chinese, Cantonese",4.6,2500.0,Mundhwa,Pune
Skittles - The Sports Bar,Restaurant,"Continental, Mughlai, Italian, Asian",4.0,1500.0,Wakad,Pune
Roopali Restaurant,Restaurant,"Fast Food, South Indian",4.0,500.0,FC Road,Pune
Mathura,Restaurant,"Fast Food, Maharashtrian, North Indian",4.0,600.0,JM Road,Pune
Chhatrapati Special Misal,Restaurant,Street Food,0.0,100.0,Chinchwad,Pune
Overloaded,Restaurant,"Fast Food, Beverages",4.2,1100.0,Wakad,Pune
Golden Curry,Restaurant,"North Indian, Chinese, Seafood, Continental, Salad, Beverages",3.6,1000.0,Chinchwad,Pune
Richie Rich,Restaurant,"Fast Food, Ice Cream, Beverages",4.0,350.0,Katraj,Pune
Jijai Coffee House,Restaurant,"Fast Food, Street Food, Chinese",3.8,350.0,Bavdhan,Pune
Oasis,Restaurant,"North Indian, Chinese, Seafood",3.4,1100.0,Bavdhan,Pune
Kokkita,Restaurant,"Asian, North Indian, Continental",3.8,1600.0,Hadapsar,Pune
Soul Spice Restaurant,Restaurant,"North Indian, Chinese, Italian, Continental, Fast Food",3.9,1000.0,Katraj,Pune
Basho's,Restaurant,"North Indian, Continental, Mughlai",4.0,1600.0,Mundhwa,Pune
Sangeeta Restaurant & Bar,Restaurant,"Chinese, North Indian",3.7,500.0,Akurdi,Pune
K,Restaurant,"Korean, Japanese, Asian",4.0,1200.0,Aundh,Pune
Bossa Nova,Restaurant,"Continental, Italian, European",3.4,1500.0,Deccan Gymkhana,Pune
Shreeji Pure Veg,Restaurant,"North Indian, Chinese, South Indian, Fast Food",3.8,500.0,Narhe,Pune
Komal Vilas,Restaurant,"Chinese, Fast Food, North Indian",3.7,400.0,Hadapsar,Pune
Buzz - Vivanta Pune,Restaurant,"North Indian, South Indian, Chinese, Continental, Mughlai, Fast Food, Beverages",4.2,1800.0,Hinjawadi,Pune
Maasa,Restaurant,"Maharashtrian, Seafood",3.9,650.0,Mundhwa,Pune
Harry's Bar & Kitchen,Restaurant,"Continental, Kebab, Italian, Modern Indian, Finger Food, Asian, Sushi, Desserts",3.9,1500.0,Koregaon Park,Pune
Cafe Maroo,Restaurant,Korean,4.1,1100.0,Aundh,Pune
Abhishek Non Veg Restaurant,Restaurant,"North Indian, Chinese, Seafood",3.8,800.0,Erandwane,Pune
Supreme Momos,Restaurant,Momos,0.0,200.0,Warje,Pune
The London Shakes,Restaurant,"Beverages, Fast Food, Desserts",3.3,400.0,Wakad,Pune
Momoman,Restaurant,"Momos, Chinese, Thai",3.3,250.0,Kothrud,Pune
Best 4 Biryanis,Restaurant,Biryani,3.7,400.0,Narhe,Pune
Khichadiwala,Restaurant,"Fast Food, South Indian, Chinese",3.8,400.0,Kharadi,Pune
DV's Pizza,Restaurant,"Pizza, Fast Food",4.3,500.0,Hinjawadi,Pune
Rosso Bianco,Restaurant,"Italian, Cafe, Salad",4.2,900.0,Khadki,Pune
Shree Krishna Pizza,Restaurant,Fast Food,4.0,350.0,Camp Area,Pune
Noodle Canteen,Restaurant,"Chinese, Asian",4.1,600.0,Kalyani Nagar,Pune
Post 91 - Goldmine Buffet,Restaurant,"North Indian, Asian, Italian, Continental, Salad",3.5,1300.0,Baner,Pune
Swadesi - Dal Baati,Restaurant,North Indian,0.0,300.0,Hadapsar,Pune
MRP,Restaurant,"Continental, Italian, Chinese, North Indian",4.1,1400.0,Kalyani Nagar,Pune
Cafe DIP,Restaurant,"Continental, Chinese, Italian, Burger, Salad",3.9,600.0,Aundh,Pune
Chung Fa,Restaurant,Chinese,3.9,800.0,East Street,Pune
Mix@36 - The Westin,Restaurant,"Finger Food, Asian, Continental, North Indian",4.0,4200.0,Mundhwa,Pune
Reshma Bhurji Center,Restaurant,"North Indian, Chinese",3.9,200.0,Erandwane,Pune
Oliva Veg,Restaurant,"Asian, North Indian, Italian, Pizza",3.8,850.0,Bavdhan,Pune
Zen Cafe,Restaurant,"Cafe, Sushi, Continental, Italian",4.3,800.0,Koregaon Park,Pune
Lal Mirchi,Restaurant,"North Indian, Chinese, Biryani, Kebab",3.8,600.0,Pimple Saudagar,Pune
Kelly's Cafe & All Day Dining,Restaurant,"European, Asian, Cafe",4.1,700.0,Viman Nagar,Pune
Wrap Mania,Restaurant,"Wraps, North Indian, Chinese, Maharashtrian, Street Food, Fast Food, Beverages",3.0,500.0,Dehu Road,Pune
CnP House - Chicken And Paratha,Restaurant,"North Indian, Kebab, Street Food, Fast Food, Rolls, Biryani",3.6,850.0,Pashan,Pune
Pardon My French,Restaurant,"Cafe, Italian, Beverages",3.9,800.0,Senapati Bapat Road,Pune
Krustys Bistro,Restaurant,"European, Italian, Continental, Salad, Beverages",4.0,1500.0,Kothrud,Pune
Simply Barbeque,Restaurant,"North Indian, Continental, Chinese, BBQ",4.1,1000.0,Chinchwad,Pune
Spice Culture,Restaurant,"North Indian, Biryani, Chinese, Continental, Italian, Desserts",4.3,700.0,Salunkhe Vihar Road,Pune
Srinidhi Veg,Restaurant,"North Indian, Chinese, South Indian, Fast Food, Beverages",4.0,800.0,Kondhwa,Pune
Bhiwandi Darbar,Restaurant,"Chinese, Mughlai, Fast Food, North Indian",3.8,600.0,Kondhwa,Pune
Rolls Eat,Restaurant,Rolls,0.0,200.0,Balewadi,Pune
2 Guys Burger House,Restaurant,"Burger, Fast Food",3.3,300.0,Kharadi,Pune
Patang,Restaurant,"Seafood, Chinese, North Indian, Mughlai, Malwani",3.9,1200.0,Baner,Pune
46 Lounge Restaurant,Restaurant,"North Indian, Chinese, Malwani",3.2,900.0,Katraj,Pune
Shawarma Spot,Restaurant,"Lebanese, Rolls, Fast Food",2.7,300.0,Sinhgad Road,Pune
Swadisht Idli & Pav Bhaji,Restaurant,"Sandwich, Fast Food, South Indian",3.7,250.0,Nigdi,Pune
Dine Wise,Restaurant,"Fast Food, Beverages, Sandwich",3.4,400.0,Erandwane,Pune
Meenakshi Garden Pure Veg,Restaurant,"North Indian, South Indian, Chinese, Fast Food",3.1,550.0,Sinhgad Road,Pune
Gokul Chinese,Restaurant,Chinese,3.9,400.0,Tilak Road,Pune
The Oyster,Restaurant,"Continental, North Indian, Fast Food, Italian, Mughlai, Beverages",3.7,1000.0,Kothrud,Pune
FIR - Fresh Ice Cream Rolls,Restaurant,"Ice Cream, Desserts",4.2,250.0,Kothrud,Pune
Jai Bhavani Restaurant,Restaurant,"North Indian, Chinese, Mughlai, Seafood",3.6,600.0,Satara Road,Pune
Royal Baking Co,Restaurant,Desserts,4.3,450.0,Kalyani Nagar,Pune
Bengali Sweets And Foods,Restaurant,"Bengali, Mithai, Street Food",4.0,400.0,Viman Nagar,Pune
Idlicious,Restaurant,South Indian,4.2,250.0,Baner,Pune
Hotel Sangrilla,Restaurant,"Chinese, North Indian, Maharashtrian",3.9,600.0,Nigdi,Pune
Down Town Multi Cuisine Restaurant,Restaurant,"North Indian, Chinese",3.5,550.0,Wakad,Pune
Masala Kitchen,Restaurant,"North Indian, Chinese",3.8,300.0,Kharadi,Pune
Supperyum Court,Restaurant,"North Indian, Chinese",3.8,400.0,Baner,Pune
The Funky Kona,Restaurant,"Continental, Italian, North Indian, Asian, Bar Food, Mughlai, Seafood",4.0,1400.0,Baner,Pune
Naivedyam,Restaurant,"North Indian, South Indian, Continental, Pizza, Street Food, Chinese",3.9,750.0,Sinhgad Road,Pune
Curry Leaves,Restaurant,"North Indian, Chinese, Maharashtrian",3.6,500.0,Kothrud,Pune
Martand Malhar,Restaurant,"Maharashtrian, Seafood, North Indian",4.4,700.0,Chinchwad,Pune
Agra Restaurant,Restaurant,"North Indian, Chinese, Mughlai, Hyderabadi",3.8,750.0,Kondhwa,Pune
Bread Bash,Restaurant,Fast Food,3.7,250.0,Katraj,Pune
Parvez Kebabs,Restaurant,"Kebab, Rolls",0.0,500.0,Koregaon Park,Pune
Green Food,Restaurant,"North Indian, South Indian, Chinese, Fast Food, Desserts, Beverages",3.7,500.0,Kothrud,Pune
Koko Scoop,Restaurant,Desserts,4.5,150.0,Viman Nagar,Pune
सोBar,Restaurant,"Finger Food, North Indian, Continental, Salad, Italian",4.2,1500.0,Kothrud,Pune
सोBar,Restaurant,"Finger Food, North Indian, Continental, Salad, Italian",4.2,1500.0,Kothrud,Pune
Shraavan Restaurant,Restaurant,"North Indian, Chinese, Continental",3.9,800.0,Shivaji Nagar,Pune
Reddy's Restaurant,Restaurant,"North Indian, Chinese",3.7,500.0,Hadapsar,Pune
The Window Kitchen,Restaurant,"Sandwich, Healthy Food, Italian, North Indian, Fast Food, Beverages",4.1,700.0,Kondhwa,Pune
Ground Up,Restaurant,"Asian, Continental, Mexican",4.2,2000.0,Viman Nagar,Pune
The Chicken Company,Restaurant,Fast Food,3.6,400.0,Kharadi,Pune
Bangalore iyangar's bakery,Restaurant,"Bakery, Desserts",4.2,200.0,Viman Nagar,Pune
Albano Shakes & Fries,Restaurant,"Beverages, Fast Food",3.5,400.0,Shivaji Nagar,Pune
Wok N Toss,Restaurant,"Chinese, Burger, Beverages",3.3,400.0,Magarpatta,Pune
Rice Wise,Restaurant,North Indian,3.4,350.0,Katraj,Pune
Apsara Ice Creams,Restaurant,"Ice Cream, Desserts",4.4,400.0,Viman Nagar,Pune
Reve Patisserie,Restaurant,"Bakery, Desserts",4.0,450.0,Kalyani Nagar,Pune
Kakke Da Paratha,Restaurant,North Indian,3.9,300.0,Hinjawadi,Pune
The Cake Studio & Cafe,Restaurant,"Bakery, Fast Food, Desserts, Beverages",4.1,400.0,Sadashiv Peth,Pune
Maurya Multi Cuisine Restaurant and Bar,Restaurant,"Continental, Seafood, North Indian, Chinese, Mughlai",3.8,1000.0,Karve Nagar,Pune
Bombay Bites & Creams,Restaurant,"Fast Food, Chinese, North Indian, Seafood",3.9,700.0,Hinjawadi,Pune
Om Sai Ice cream,Restaurant,"Desserts, Ice Cream",3.7,200.0,Lohegaon,Pune
Thank God For Pizzas,Restaurant,"Pizza, Fast Food",4.0,600.0,Nigdi,Pune
Giridhar,Restaurant,North Indian,3.8,300.0,Aundh,Pune
Barfi Box Cafe,Restaurant,"Mithai, North Indian, Desserts",3.9,250.0,Hadapsar,Pune
Vihaan's,Restaurant,"Seafood, North Indian, Chinese",0.0,550.0,Viman Nagar,Pune
Wok Express,Restaurant,"Chinese, Momos",3.8,650.0,Viman Nagar,Pune
Fusion Cafe,Restaurant,"Coffee, Continental, Beverages",3.7,200.0,Pimple Nilakh,Pune
Rama Krishna,Restaurant,"Sandwich, North Indian, South Indian, Desserts, Beverages",3.9,1000.0,Lonavala,Pune
Roti Shoti Aur Kabab,Restaurant,North Indian,3.5,1000.0,Erandwane,Pune
Malhar Khanaval,Restaurant,Maharashtrian,3.7,500.0,JM Road,Pune
The Fat Labrador Cafe,Restaurant,"Cafe, European",4.1,600.0,Bavdhan,Pune
Kekiz The Cake Shop,Restaurant,"Bakery, Desserts",2.9,350.0,Hinjawadi,Pune
High On Bollywood Restaurant & Bar,Restaurant,"North Indian, Biryani, Chinese, Italian, Desserts",4.1,850.0,Wakad,Pune
Shiv Kailash,Restaurant,"Ice Cream, Beverages",4.5,200.0,Camp Area,Pune
Kohli's Firangi Dhaba,Restaurant,"North Indian, Chinese",3.9,1600.0,Hinjawadi,Pune
Saffron Multi-Cuisine & Sea Food Restaurant,Restaurant,"Seafood, North Indian, Mughlai, Chinese",3.8,1000.0,Pashan,Pune
Happy Breaks,Restaurant,"Chinese, Fast Food, Beverages",0.0,300.0,Kothrud,Pune
Shree Dining,Restaurant,Maharashtrian,0.0,250.0,Lohegaon,Pune
Om Namo Snacks,Restaurant,"Street Food, South Indian",3.5,200.0,Wakad,Pune
Kitchen 24x7,Restaurant,"North Indian, Chinese, Maharashtrian",3.7,150.0,Hadapsar,Pune
Farzi Diet,Restaurant,"North Indian, Maharashtrian, Fast Food, Sandwich, Beverages",3.6,300.0,Magarpatta,Pune
Sanskruti,Restaurant,"Chinese, North Indian",2.9,500.0,Ravet,Pune
Godavari Ruchulu,Restaurant,"North Indian, Chinese, Seafood, Biryani, Andhra",3.6,600.0,Hinjawadi,Pune
PK Mutton Bhakri,Restaurant,Maharashtrian,3.7,400.0,Kothrud,Pune
The Gazebo - World of Veg,Restaurant,"North Indian, Chinese, South Indian, Continental",3.3,600.0,Pimple Gurav,Pune
Ashapuri Dining Hall,Restaurant,"Rajasthani, North Indian",3.8,450.0,Aundh,Pune
Angaar,Restaurant,"Lucknowi, Chinese, Mughlai, Seafood, North Indian",4.0,1000.0,Wakad,Pune
Budhani Waferwala,Restaurant,"Mithai, Street Food",4.3,100.0,Camp Area,Pune
Pastry Corner,Restaurant,"Bakery, Desserts, Fast Food",4.3,150.0,Law College Road,Pune
Gayatrree,Restaurant,"South Indian, North Indian, Chinese, Street Food, Fast Food, Beverages, Desserts",3.9,600.0,Nigdi,Pune
Shree Ganesh Pure Veg,Restaurant,"North Indian, Chinese, South Indian, Fast Food, Street Food",3.8,600.0,Pimpri,Pune
Kangan - The Westin,Restaurant,"Mughlai, North Indian",4.0,4000.0,Mundhwa,Pune
Kalyan Bhel,Restaurant,Street Food,4.0,150.0,Baner,Pune
"I'm Lion, Strictly Non-Veg",Restaurant,"Mangalorean, Goan, Seafood, Konkan",4.2,800.0,Baner,Pune
Bahiram Handi,Restaurant,"Maharashtrian, North Indian",3.8,350.0,Katraj,Pune
NIC Natural Ice Creams,Restaurant,"Ice Cream, Desserts",3.9,200.0,Bibvewadi,Pune
China Town,Restaurant,Chinese,0.0,400.0,Bhosari,Pune
La Pino'z Pizza,Restaurant,"Pizza, Italian",3.6,550.0,Hadapsar,Pune
Phulka,Restaurant,North Indian,3.9,400.0,Kothrud,Pune
Kokan Biryani Malvan,Restaurant,"Biryani, North Indian",3.5,400.0,Kothrud,Pune
Mithas,Restaurant,"Mithai, Street Food",3.7,400.0,Aundh,Pune
Two Sticks,Restaurant,"Chinese, Thai, Japanese, Tibetan",4.1,800.0,Balewadi,Pune
Prasanna Pure Veg,Restaurant,"South Indian, North Indian, Chinese",3.6,450.0,Pashan,Pune
Kulfi House,Restaurant,"Ice Cream, Desserts, Beverages",3.7,250.0,Balewadi,Pune
Brownie Point,Restaurant,"Desserts, Bakery",3.9,250.0,Wanowrie,Pune
NIPR Bar,Restaurant,Bar Food,0.0,800.0,Kothrud,Pune
Botequim Cervejaria,Restaurant,"Finger Food, Brazilian, BBQ",4.2,1800.0,Koregaon Park,Pune
Indore Foods,Restaurant,Street Food,4.3,100.0,Erandwane,Pune
Kalyani Veg,Restaurant,"North Indian, South Indian, Fast Food",3.7,700.0,Kalyani Nagar,Pune
The Great Punjab,Restaurant,North Indian,3.8,1000.0,Koregaon Park,Pune
Cafe Little Eggs,Restaurant,"Fast Food, Beverages",3.3,300.0,Bund Garden Road,Pune
The Fake Cafe,Restaurant,"Chinese, Fast Food, Juices, Beverages",0.0,300.0,Chinchwad,Pune
Veda's Cafe & Tandoor House,Restaurant,Chinese,0.0,300.0,Hinjawadi,Pune
Waff O Grill,Restaurant,"Cafe, Fast Food, Desserts",3.5,450.0,Kondhwa,Pune
South Express,Restaurant,South Indian,3.3,300.0,Hadapsar,Pune
Sugardough,Restaurant,"Fast Food, Beverages",4.0,500.0,Kothrud,Pune
Coco Jambo Tiki Bar,Restaurant,"North Indian, Continental, Chinese, Finger Food",4.0,1600.0,Kharadi,Pune
All Time High - Bar & Eatery,Restaurant,"Continental, Bar Food",3.9,1600.0,Mundhwa,Pune
Cafe Royal Villa,Restaurant,"Fast Food, Street Food, Italian, Chinese, North Indian",3.5,600.0,Wakad,Pune
Hyderabad House,Restaurant,"Hyderabadi, North Indian, Chinese",3.3,450.0,Pimpri,Pune
Lazziz - The Hyderabad house,Restaurant,Hyderabadi,3.7,400.0,Hinjawadi,Pune
Oh Live,Restaurant,"North Indian, Continental, Chinese, Mughlai",3.6,1200.0,Hadapsar,Pune
Chilled Affair,Restaurant,"Desserts, Ice Cream, Beverages",3.9,400.0,Wakad,Pune
Spring Onion,Restaurant,"Chinese, Thai",4.0,800.0,Deccan Gymkhana,Pune
Bangalore Iyengar's Bakery,Restaurant,"Bakery, Desserts",3.6,400.0,Kothrud,Pune
Jai Malhar Bhojnalya,Restaurant,"North Indian, Maharashtrian",3.8,500.0,Hadapsar,Pune
Awadh E Malwa,Restaurant,"Lucknowi, North Indian, Awadhi, Biryani",4.1,600.0,Bavdhan,Pune
Al-Hifazat Kabab's & Caterers,Restaurant,"Biryani, Mughlai, Chinese",3.9,400.0,Yerawada,Pune
Radio Hotel,Restaurant,"North Indian, Chinese, Mughlai",3.8,450.0,Camp Area,Pune
Hotel Mahabaleshwar,Restaurant,"North Indian, Chinese, Seafood",3.0,900.0,Baner,Pune
Wah Marathi Dine N Wine,Restaurant,Maharashtrian,3.9,1100.0,Magarpatta,Pune
Farmer's Choice,Restaurant,"North Indian, Chinese",3.6,500.0,Kothrud,Pune
Caffa,Restaurant,"Cafe, Continental, Italian",4.0,700.0,Baner,Pune
Khandesh Express,Restaurant,"North Indian, Maharashtrian",3.6,350.0,Karve Nagar,Pune
Gandharv Restaurant,Restaurant,"North Indian, South Indian, Chinese, Fast Food",3.6,550.0,JM Road,Pune
Kake Da Hotel,Restaurant,North Indian,3.4,650.0,Kharadi,Pune
Alhamduillah,Restaurant,"North Indian, Mughlai, Chinese",3.7,600.0,Camp Area,Pune
Sai Sagar,Restaurant,"Fast Food, North Indian, South Indian",2.6,500.0,Baner,Pune
Belleza,Restaurant,"North Indian, Chinese, Fast Food, Continental, Biryani",3.7,900.0,Wakad,Pune
Iddos,Restaurant,South Indian,3.7,500.0,Kothrud,Pune
Ice Cream Magic AADD(M) AADD(B),Restaurant,"North Indian, Fast Food, Beverages, Burger, Pizza, Sandwich",4.0,450.0,Kothrud,Pune
Lucknow Spice,Restaurant,"Lucknowi, North Indian, Mughlai",3.9,750.0,Baner,Pune
Hyderabadi Biryani House,Restaurant,Biryani,2.8,400.0,Warje,Pune
Urban Hippies,Restaurant,"Cafe, North Indian, Fast Food",4.2,300.0,Wakad,Pune
In Green,Restaurant,"North Indian, Chinese, Italian",3.6,1200.0,Swargate,Pune
A S Pavbhaji Centre,Restaurant,"Street Food, North Indian",0.0,250.0,Lohegaon,Pune
Chat Chatore,Restaurant,"Fast Food, Street Food, Beverages",3.2,200.0,Wagholi,Pune
Burger Day,Restaurant,Fast Food,3.3,500.0,Wakad,Pune
Namaste Kitchen,Restaurant,North Indian,4.0,500.0,Kharadi,Pune
Shangai Spice,Restaurant,Chinese,3.3,350.0,Kothrud,Pune
Wings House,Restaurant,"American, Fast Food",3.6,200.0,Hinjawadi,Pune
Springold - The Luxury Cafe,Restaurant,"Continental, Chinese, Cafe, Beverages",3.6,500.0,Viman Nagar,Pune
Kayamkulam Cafe,Restaurant,"Kerala, South Indian, Seafood",3.2,400.0,Pune-Solapur Road,Pune
Sharma Ice Cream & Pav Bhaji,Restaurant,"Fast Food, Ice Cream, Street Food",3.6,350.0,Chinchwad,Pune
Cavura Pizza and Grill,Restaurant,"Italian, Fast Food",3.7,400.0,Camp Area,Pune
The East,Restaurant,"Chinese, Thai",3.5,300.0,Baner,Pune
Khan E Khas Restaurant & Catering Service,Restaurant,"North Indian, Mughlai, Chinese",3.8,550.0,Kondhwa,Pune
Arabian Grills,Restaurant,"Arabian, Mughlai, Fast Food",3.4,500.0,Katraj,Pune
Maitricha Katta,Restaurant,"Fast Food, Sandwich",4.2,300.0,Sadashiv Peth,Pune
The Cheese Truck,Restaurant,"Street Food, Fast Food",4.0,250.0,KP and Kalyani,Pune
Cafe Momos,Restaurant,"Momos, Sandwich",3.6,200.0,Katraj,Pune
Hotel Gayatri,Restaurant,"Maharashtrian, North Indian",3.7,650.0,Aundh,Pune
Bhujbal Bandhu - Hotel Apulki,Restaurant,Maharashtrian,3.8,500.0,Karve Nagar,Pune
Gharonda Veg Restaurant,Restaurant,"North Indian, South Indian, Chinese, Street Food, Fast Food",2.9,650.0,Pimpri,Pune
Anand Veg,Restaurant,"North Indian, Fast Food, Chinese, South Indian",3.9,600.0,Erandwane,Pune
Baisakhi Flavour of Punjab,Restaurant,"North Indian, Chinese, Continental",0.0,600.0,Wakad,Pune
Kava -  Fairfield by Marriott Pune,Restaurant,"North Indian, Asian, Continental, Salad",3.7,1500.0,Kharadi,Pune
Fried Chicken Destination,Restaurant,Fast Food,2.8,300.0,Kothrud,Pune
Agra Restaurant,Restaurant,"North Indian, Chinese, Mughlai",3.7,600.0,Camp Area,Pune
New Milan Khanaval,Restaurant,"North Indian, Maharashtrian",3.9,400.0,Sadashiv Peth,Pune
Sunny's Momo,Restaurant,Momos,0.0,150.0,Kothrud,Pune
Indian Tadka Taste Punjab Da,Restaurant,"North Indian, Chinese, Mughlai",4.0,800.0,Magarpatta,Pune
Mosaic - Crowne Plaza Pune City Centre,Restaurant,"North Indian, Fast Food",4.1,2500.0,Bund Garden Road,Pune
