restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Little Italy,Restaurant,"Italian, Mexican, Salad, Juices",4.4,2100.0,Shivaji Nagar,Pune
World of Veg,Restaurant,"North Indian, Chinese, Italian",3.9,1500.0,Shivaji Nagar,Pune
Linkin Barrel,Restaurant,"Continental, Modern Indian, Italian, North Indian",4.3,1300.0,Baner,Pune
Fly High,Restaurant,"Continental, Italian, Chinese, North Indian",4.3,2000.0,Hinjawadi,Pune
Thikana,Restaurant,"Bar Food, North Indian, Fast Food",4.0,1500.0,Hinjawadi,Pune
High Spirits,Restaurant,"Finger Food, Continental, Italian, North Indian, Mexican",4.2,1500.0,Mundhwa,Pune
Cuba Libre,Restaurant,"Finger Food, Continental, Italian, North Indian",4.4,2200.0,Wakad,Pune
Dario's,Restaurant,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",4.4,1600.0,Koregaon Park,Pune
Burger,Restaurant,"Burger, Fast Food",4.6,250.0,East Street,Pune
NH 37 Dhaba,Restaurant,"Chinese, North Indian, Bengali, Salad",4.1,1200.0,Pune University,Pune
Hippie@Heart,Restaurant,"Continental, Italian, North Indian, Finger Food, European",4.5,1300.0,Deccan Gymkhana,Pune
Kargo,Restaurant,"Asian, Continental, North Indian, Italian",4.5,1100.0,Koregaon Park,Pune
Theobroma,Restaurant,"Bakery, Desserts, Fast Food",4.5,600.0,Koregaon Park,Pune
Malaka Spice,Restaurant,"Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Salad",4.4,1800.0,Koregaon Park,Pune
360 Degree - The Revolving Fine Dine Restaurant,Restaurant,"North Indian, Continental, Asian, Mughlai",4.2,1200.0,JM Road,Pune
Vohuman Cafe,Restaurant,Street Food,4.7,250.0,Dhole Patil Road,Pune
Maharaja Bhog,Restaurant,"North Indian, Gujarati, Rajasthani",4.6,1000.0,Senapati Bapat Road,Pune
Hard Rock Cafe,Restaurant,"American, Continental, Mexican, Salad",4.5,2500.0,Mundhwa,Pune
Blue Nile,Restaurant,"Chinese, North Indian, Mughlai",3.9,800.0,Camp Area,Pune
Ministry Of Barbeque,Restaurant,"North Indian, Continental",4.2,1000.0,Wakad,Pune
Yana Sizzlers & Wok,Restaurant,"Chinese, Continental, Seafood, Salad",4.3,1000.0,FC Road,Pune
Autobahn,Restaurant,"Bengali, Chettinad, Goan, North Indian",4.7,1300.0,Viman Nagar,Pune
18 Degrees Resto Lounge,Restaurant,"North Indian, Mediterranean, Chinese",3.6,2100.0,Pimple Saudagar,Pune
Satguru's Punjabi Rasoi,Restaurant,"North Indian, Mughlai, Fast Food",4.2,1200.0,Magarpatta,Pune
Anna Idli,Restaurant,"South Indian, Fast Food",4.4,400.0,Baner,Pune
Crazy Cheesy,Restaurant,"Cafe, Fast Food, Pizza, Sandwich",4.4,450.0,Sadashiv Peth,Pune
Azzurro,Restaurant,"Continental, Asian, North Indian, Mughlai",4.0,1600.0,Baner,Pune
Gong,Restaurant,"Asian, Thai, Sushi",4.7,1700.0,Baner,Pune
The Deccan Bid Capital,Restaurant,"Asian, Continental, North Indian",4.7,1200.0,Shivaji Nagar,Pune
Claypot,Restaurant,"North Indian, Seafood, Chinese",3.9,700.0,Kharadi,Pune
Le Stone,Restaurant,"North Indian, Continental, Kebab, Pizza, Chinese",4.5,1500.0,Ravet,Pune
