restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Indori Zaika,Quick Bites,North Indian,2.8,300.0,Bellandur,HSR,Bangalore
INDULGE by InnerChef,Bakery,"Desserts, Bakery",3.1,400.0,Kalyan Nagar,Hennur,Bangalore
Indulge Cupcakes,Bakery,"Bakery, Desserts",3.8,500.0,Marathahalli,Marathahalli,Bangalore
Indus Family Restaurant,Casual Dining,"North Indian, Biryani",3.8,600.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Indy Palate,Quick Bites,"Continental, Biryani, Italian, North Indian, Chinese",3.3,250.0,Marathahalli,Bellandur,Bangalore
Indy's Comfort Food,Quick Bites,"North Indian, Beverages, Fast Food",4.1,300.0,Brigade Road,Shivajinagar,Bangalore
Infinitea Tea Room & Tea Store,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",4.2,1000.0,Residency Road,Cunningham Road,Bangalore
Infinity - The Zuri,Fine Dining,"North Indian, Continental, Chinese",3.8,2700.0,Whitefield,Whitefield,Bangalore
Infinity Family Restaurant,Casual Dining,"North Indian, Chinese",3.6,500.0,Marathahalli,Marathahalli,Bangalore
Ingu Tengu,Quick Bites,South Indian,3.9,150.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Inhouse Burger,Food Court,Fast Food,3.6,400.0,Bellandur,Bellandur,Bangalore
InnerChef,Delivery,"North Indian, Continental",3.1,500.0,Kalyan Nagar,Hennur,Bangalore
Inntense Restobar,"Bar, Casual Dining","Finger Food, Continental, North Indian, Fast Food",2.8,1600.0,Old Airport Road,Indiranagar,Bangalore
Insomniac's Delight,Delivery,"Fast Food, North Indian",4.0,300.0,Electronic City,Electronic City,Bangalore
Insta Cafe,Cafe,"Cafe, Continental, Pizza, Italian, Beverages",2.9,400.0,Bannerghatta Road,BTM,Bangalore
Intalia,Food Court,"Pizza, Italian",3.6,800.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Intriicake,"Quick Bites, Bakery","Bakery, Desserts, Italian, North Indian, Fast Food",3.8,350.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Invitation Bar & Restaurant,Bar,North Indian,3.0,1000.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Irie,Casual Dining,"North Indian, Chinese",3.2,800.0,Kalyan Nagar,Kalyan Nagar,Bangalore
I-Scoop Cafe,Quick Bites,"Fast Food, Pizza, Desserts",2.8,300.0,"Byresandra,Tavarekere,Madiwala",Jayanagar,Bangalore
I-Scream'd,Dessert Parlor,Ice Cream,3.4,200.0,Sarjapur Road,Sarjapur Road,Bangalore
Ishta Cafe,Quick Bites,"Pizza, South Indian, Healthy Food",3.9,500.0,Basavanagudi,Jayanagar,Bangalore
Ishta Upahar,Quick Bites,South Indian,3.4,100.0,Brigade Road,Ulsoor,Bangalore
Ishwaryam,Quick Bites,"South Indian, Fast Food",3.5,250.0,Whitefield,Whitefield,Bangalore
iSpice Resto Cafe,Cafe,"Cafe, North Indian, Chinese, Fast Food",3.7,600.0,Indiranagar,Indiranagar,Bangalore
Italia - The Park Bangalore,Fine Dining,Italian,3.7,2500.0,Brigade Road,MG Road,Bangalore
Ithaa's Biriyani,Quick Bites,"Biryani, Chinese, North Indian",3.4,500.0,HSR,HSR,Bangalore
Ithaca - The Chancery Pavilion,Fine Dining,"North Indian, Italian, European, Continental",3.9,2000.0,Brigade Road,Residency Road,Bangalore
It's Mirchi - Ramee Guestline Hotels,Casual Dining,"Continental, Mughlai",3.1,1600.0,Electronic City,Electronic City,Bangalore
Ivy,Casual Dining,"North Indian, Chinese, Fast Food",3.8,600.0,Banashankari,Kumaraswamy Layout,Bangalore
Ivy Park,Casual Dining,"South Indian, Kerala, North Indian, Chinese",3.5,500.0,Sarjapur Road,Sarjapur Road,Bangalore
Iyengar Bakery,Bakery,Bakery,3.7,200.0,Basavanagudi,Jayanagar,Bangalore
Iyengar's Bakery,Bakery,Bakery,3.5,200.0,Brigade Road,Koramangala 6th Block,Bangalore
Iyengars' Bakery,Bakery,Bakery,3.4,200.0,Brigade Road,Richmond Road,Bangalore
Iyengar's Inn,Quick Bites,South Indian,4.1,100.0,Basavanagudi,Jayanagar,Bangalore
Iyer Idly,Quick Bites,South Indian,4.0,150.0,Marathahalli,Thippasandra,Bangalore
Iyer Mess,Mess,South Indian,4.1,150.0,Malleshwaram,Malleshwaram,Bangalore
Iyer's Tiffin Centre,Quick Bites,"South Indian, Chinese",3.8,150.0,Banashankari,Banashankari,Bangalore
