restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Tandoor Box,Casual Dining,"Mughlai, North Indian, Biryani",3.5,850.0,Brookefield,Brookefield,Bangalore
Tandoor Chai House,Quick Bites,"Street Food, Sandwich, Rolls, Beverages",2.8,200.0,Bannerghatta Road,JP Nagar,Bangalore
Tandoor Da Funda,Quick Bites,North Indian,3.6,350.0,Brigade Road,MG Road,Bangalore
Tandoor Garden,Quick Bites,"North Indian, Chinese, Kebab",3.6,350.0,Bannerghatta Road,BTM,Bangalore
Tandoor Hub & Golmaal Paratha,Quick Bites,North Indian,3.2,450.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Tandoor Hut,Casual Dining,"North Indian, Chinese",2.2,750.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Tandoor Merchant,"Takeaway, Delivery","North Indian, Chinese, Fast Food",3.4,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Tandoor Nation,Quick Bites,"North Indian, Chinese",3.0,400.0,Bannerghatta Road,BTM,Bangalore
Tandoor-De-Naal,"Takeaway, Delivery",Fast Food,3.8,200.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Tandoori Bytes,Casual Dining,North Indian,3.6,700.0,Banashankari,Kumaraswamy Layout,Bangalore
Tandoori Chowk,Quick Bites,"North Indian, Chinese",3.5,400.0,Marathahalli,Marathahalli,Bangalore
Tandoori Club,Casual Dining,"North Indian, Chinese, Continental",2.8,750.0,Bellandur,HSR,Bangalore
Tandoori Delight,Quick Bites,"North Indian, Chinese",3.0,300.0,New BEL Road,New BEL Road,Bangalore
Tandoori Junction,Quick Bites,"North Indian, Chinese, Biryani",3.9,400.0,Brookefield,Marathahalli,Bangalore
Tandoori Knight,Quick Bites,"North Indian, Chinese, Biryani, Kebab",3.0,450.0,Banashankari,Banashankari,Bangalore
Tandoori Paradise,Delivery,"North Indian, Chinese",3.5,600.0,Bannerghatta Road,BTM,Bangalore
Tandoori Spot,Quick Bites,"North Indian, Chinese",3.5,500.0,Bannerghatta Road,JP Nagar,Bangalore
Tandoori Taal,Casual Dining,"Biryani, North Indian",4.3,900.0,Indiranagar,Indiranagar,Bangalore
Tandoorinn,Quick Bites,"Biryani, Mughlai, Chinese",3.2,300.0,Indiranagar,Old Madras Road,Bangalore
Tandooriwala,"Food Court, Quick Bites","North Indian, Mughlai",2.7,700.0,Brookefield,Whitefield,Bangalore
Tandurust,"Takeaway, Delivery","North Indian, South Indian",3.6,300.0,Bellandur,Bellandur,Bangalore
Tang of Jamaica,Casual Dining,"American, Mexican, BBQ",3.4,900.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Tangerine - Davanam Sarovar Portico Suites,Casual Dining,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",4.0,1100.0,"Byresandra,Tavarekere,Madiwala",Koramangala 2nd Block,Bangalore
Tango,Quick Bites,Fast Food,3.8,200.0,Rajajinagar,Basaveshwara Nagar,Bangalore
Tango Bango,"Takeaway, Delivery","Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",3.5,500.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Tango Sandwich King,Quick Bites,"Fast Food, Sandwich",3.5,200.0,Rajajinagar,Basaveshwara Nagar,Bangalore
Tangra Indo - Chinese Cuisine,Food Court,"Chinese, Thai",3.5,400.0,Jayanagar,Jayanagar,Bangalore
TangyLicious,"Takeaway, Delivery",Fast Food,2.6,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Tanna's Kitchen,Quick Bites,"Italian, Chinese, Street Food",3.1,250.0,Banashankari,Kumaraswamy Layout,Bangalore
Tanoor Tandoori,Delivery,"North Indian, Mughlai, Chinese, Kebab, Biryani",2.8,550.0,Bellandur,Bellandur,Bangalore
Tanuja Home Food,Delivery,North Indian,3.1,300.0,Brookefield,Whitefield,Bangalore
Tap House Resto Bar,"Casual Dining, Bar","Chinese, North Indian, Thai",3.4,900.0,Electronic City,Electronic City,Bangalore
Tapout Tavern,"Casual Dining, Pub","American, Asian, Continental, North Indian, South Indian, Chinese",4.1,1200.0,Bellandur,Sarjapur Road,Bangalore
Tapri By The Corner,Quick Bites,Fast Food,4.1,250.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Tarama Bengali Food,Quick Bites,Bengali,3.2,200.0,Whitefield,Whitefield,Bangalore
Tarbouche,Kiosk,"Turkish, Rolls",2.8,300.0,Basavanagudi,Jayanagar,Bangalore
Targaryen's Kitchen,Casual Dining,"North Indian, Bengali, Chinese",3.6,550.0,Jayanagar,JP Nagar,Bangalore
Tarlette,Bakery,"Bakery, Fast Food",2.8,560.0,HSR,HSR,Bangalore
Taruni Andhra Mess,Mess,Andhra,3.6,200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Taste of Assam,Quick Bites,"Assamese, North Indian, Chinese",3.2,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,Bangalore
Taste of Bihar,"Takeaway, Delivery",Bihari,3.7,300.0,Kammanahalli,Rammurthy Nagar,Bangalore
Taste Of India,Quick Bites,"North Indian, Rolls",3.1,400.0,Bellandur,Bellandur,Bangalore
Taste Of India Family Restaurant,Quick Bites,"North Indian, South Indian",3.2,400.0,Whitefield,Whitefield,Bangalore
Taste Of Kerala,Casual Dining,"Kerala, Seafood",2.2,600.0,Brigade Road,Residency Road,Bangalore
Taste Of Kolkata,Quick Bites,"Bengali, Chinese, Rolls",3.1,400.0,Bannerghatta Road,BTM,Bangalore
Taste Of Malabar,Quick Bites,"South Indian, Kerala, Chinese",3.6,350.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Taste Of Nawaabs,Casual Dining,"North Indian, Mughlai",3.5,600.0,Kalyan Nagar,Banaswadi,Bangalore
Taste Of Nawaab's,Casual Dining,"North Indian, Chinese",3.6,600.0,Indiranagar,Domlur,Bangalore
Taste of Nepal,Quick Bites,Chinese,3.4,300.0,Residency Road,Koramangala 8th Block,Bangalore
Taste Of Tibet,Quick Bites,"Tibetan, Chinese, Momos",4.0,300.0,Brigade Road,Brigade Road,Bangalore
Tastebuds,"Bakery, Quick Bites","Bakery, Fast Food",3.7,300.0,Bellandur,Sarjapur Road,Bangalore
Tastie's,"Quick Bites, Beverage Shop","Fast Food, Beverages, Ice Cream",3.2,150.0,Malleshwaram,Basaveshwara Nagar,Bangalore
Tasting Room - Bengaluru Oota Company,Casual Dining,"Mangalorean, South Indian",4.0,2000.0,Brigade Road,Ulsoor,Bangalore
Tastte!!,Quick Bites,"Biryani, North Indian, Chinese",3.7,450.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Tasty Bites,Quick Bites,"Fast Food, Pizza",3.7,150.0,Banashankari,Banashankari,Bangalore
Tasty Box,Quick Bites,"North Indian, South Indian, Arabian, Mughlai, Chinese, Biryani",2.9,250.0,Malleshwaram,Yeshwantpur,Bangalore
Tasty Bytes,Quick Bites,"North Indian, Chinese, Momos, Rolls",3.1,300.0,Banashankari,Kumaraswamy Layout,Bangalore
Tasty Corner,Quick Bites,South Indian,3.6,200.0,New BEL Road,New BEL Road,Bangalore
Tasty Fast Food,Quick Bites,"North Indian, Chinese",3.2,250.0,New BEL Road,New BEL Road,Bangalore
Tasty Food,Quick Bites,"North Indian, Chinese",2.8,300.0,Brookefield,Whitefield,Bangalore
Tasty Funda,Quick Bites,"North Indian, Chinese",3.3,200.0,Electronic City,Electronic City,Bangalore
Tasty Homely Food,"Takeaway, Delivery","North Indian, Chinese, Fast Food, Street Food, Mithai",2.8,350.0,Brookefield,"ITPL Main Road, Whitefield",Bangalore
Tasty Jigarthanda,Beverage Shop,"Beverages, Ice Cream",3.4,150.0,Bannerghatta Road,BTM,Bangalore
Tasty Khaana Khazana,Quick Bites,North Indian,3.3,300.0,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Bangalore
Tasty King,Quick Bites,"South Indian, North Indian, Chinese",3.4,400.0,Lavelle Road,RT Nagar,Bangalore
Tasty Kitchens,Quick Bites,Pizza,2.8,500.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
Tasty Magic,Casual Dining,"Chinese, North Indian",2.7,600.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Tasty Munch,Quick Bites,"Fast Food, Street Food, Momos",3.6,200.0,Malleshwaram,Rajajinagar,Bangalore
Tasty Noodle,Quick Bites,"Chinese, Seafood",3.4,400.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Tasty Paradise,Casual Dining,"North Indian, Mughlai, Chinese, Beverages",3.7,550.0,Lavelle Road,Malleshwaram,Bangalore
Tasty Point,Delivery,"Burger, Sandwich, Finger Food",3.3,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Tasty Restaurant,Quick Bites,"Kerala, South Indian, Chinese",2.8,300.0,Bannerghatta Road,JP Nagar,Bangalore
Tasty Treat,Quick Bites,"North Indian, Chinese, Biryani, Rolls",3.1,400.0,HSR,HSR,Bangalore
Tasty Yum,Quick Bites,"South Indian, Mughlai",2.8,300.0,Bellandur,Sarjapur Road,Bangalore
Tastybites.com,Quick Bites,"Fast Food, Sandwich, South Indian",3.7,150.0,Brookefield,Brookefield,Bangalore
Tata Cha,"Beverage Shop, Cafe","Cafe, Tea, North Indian",3.2,500.0,Malleshwaram,Malleshwaram,Bangalore
Tattva Cafe,Cafe,Cafe,2.8,450.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
Tawa,Quick Bites,North Indian,3.4,200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Tawa Fresh,Quick Bites,"Seafood, Biryani, South Indian, North Indian, Rolls",3.4,300.0,Kalyan Nagar,Hennur,Bangalore
Tawa Ghar Ka,Quick Bites,North Indian,3.8,350.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Tawa Tandoor,Casual Dining,"North Indian, Chinese",3.9,700.0,New BEL Road,New BEL Road,Bangalore
Tayabbs,Quick Bites,"Rolls, North Indian, Fast Food",3.0,500.0,Church Street,Frazer Town,Bangalore
Tayo Restaurant,Casual Dining,"North Indian, Chinese, Mughlai",3.9,600.0,Electronic City,Electronic City,Bangalore
Taza Khaana,Delivery,"Chinese, North Indian",3.0,450.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Taza Tawa,Casual Dining,"North Indian, Chinese, Kebab, Beverages",3.2,550.0,Sarjapur Road,Sarjapur Road,Bangalore
TBC - The Breakfast Company,Quick Bites,"Bihari, North Indian, South Indian",3.8,150.0,Brookefield,Marathahalli,Bangalore
TBC Sky Lounge,"Casual Dining, Bar","Continental, Asian, Italian, North Indian",4.7,1000.0,HSR,HSR,Bangalore
TBC- Sky Lounge,"Casual Dining, Bar","Continental, Asian, Italian, North Indian",4.4,1000.0,Marathahalli,Marathahalli,Bangalore
Tea Addict,Cafe,"Cafe, Beverages",4.0,300.0,HSR,HSR,Bangalore
Tea and Wine Lounge,Cafe,"Cafe, Tea, Desserts",3.5,800.0,Brigade Road,Race Course Road,Bangalore
Tea Break Lounge,Quick Bites,"Beverages, Fast Food",3.3,400.0,Brigade Road,Brigade Road,Bangalore
Tea Brew,"Cafe, Casual Dining","Cafe, Continental, Momos, Italian, North Indian",4.1,500.0,Indiranagar,Indiranagar,Bangalore
Tea Samskruthi,Cafe,Cafe,3.9,200.0,Malleshwaram,Malleshwaram,Bangalore
Tea Totallers,Cafe,"Cafe, Continental, Tea",2.9,500.0,Bellandur,Bellandur,Bangalore
Tea Trails,Cafe,"Continental, Tea, Fast Food, Italian",2.8,600.0,Koramangala 4th Block,HSR,Bangalore
Tea Villa Cafe,"Cafe, Casual Dining","Cafe, Continental, Mediterranean, Italian, Desserts",4.2,800.0,Jayanagar,Jayanagar,Bangalore
TeamDelish,Delivery,Healthy Food,3.4,300.0,Electronic City,Electronic City,Bangalore
Teapoy Mutiny,Cafe,"Cafe, Continental, American, Beverages",4.1,500.0,Kalyan Nagar,Hennur,Bangalore
Tease Whitefield,Lounge,Finger Food,3.7,1800.0,Whitefield,Whitefield,Bangalore
Teashot,Cafe,Cafe,2.9,150.0,Brookefield,Whitefield,Bangalore
Teburu,Casual Dining,"Asian, Chinese, Japanese, BBQ",4.4,800.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Techies Kitchen,Delivery,"Biryani, North Indian",3.5,400.0,Whitefield,"ITPL Main Road, Whitefield",Bangalore
Tella Tales,Cafe,"Cafe, Desserts, Beverages",4.2,700.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Tellimagic Restaurant,Quick Bites,"North Indian, South Indian, Chinese",3.5,400.0,Electronic City,Electronic City,Bangalore
Telugu Velugu,Food Court,"South Indian, Biryani",3.0,300.0,Bellandur,Bellandur,Bangalore
Temple Meals,Quick Bites,South Indian,3.8,200.0,Malleshwaram,Malleshwaram,Bangalore
Temptation,Quick Bites,"North Indian, South Indian",2.8,300.0,Brookefield,Whitefield,Bangalore
Tempteys,"Beverage Shop, Dessert Parlor",Beverages,3.7,500.0,Bellandur,HSR,Bangalore
Tempura Restaurant,Casual Dining,"Japanese, Chinese, Tibetan, Momos",3.9,500.0,Brigade Road,Brigade Road,Bangalore
Tenco Infusions,Beverage Shop,"Beverages, Salad",3.5,200.0,Indiranagar,Indiranagar,Bangalore
Tenzin Kitchen,Quick Bites,"Tibetan, Chinese, Momos",4.2,450.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Teppan Japanese Grill & Sushi Bar,Casual Dining,Japanese,4.3,2000.0,Brigade Road,Ulsoor,Bangalore
Terminus Tiffin Meal Service,Delivery,North Indian,2.8,200.0,New BEL Road,North Bangalore,Bangalore
Terra Bites,"Cafe, Casual Dining","Cafe, Italian, Continental",4.0,700.0,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,Bangalore
Terrace Lounge,Lounge,"North Indian, Chinese, Seafood",3.6,1600.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Terracotta Whitefield,Fine Dining,"North Indian, Lucknowi, Afghan",4.0,3000.0,Whitefield,Whitefield,Bangalore
Tetto,"Casual Dining, Bar",Continental,3.7,1200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Tewari Bros Mithai Shoppie,Sweet Shop,"Fast Food, Mithai",3.8,300.0,Brigade Road,Commercial Street,Bangalore
TFC - Tony's Food Corner,Casual Dining,"North Indian, Chinese",3.1,400.0,Indiranagar,"ITPL Main Road, Whitefield",Bangalore
TFI - The Fresh Ice Cream,Dessert Parlor,"Ice Cream, Beverages",3.2,400.0,Bannerghatta Road,Bannerghatta Road,Bangalore
TGI Fridays,Lounge,"American, Burger, Italian, Steak",3.9,1700.0,Bannerghatta Road,Bannerghatta Road,Bangalore
TGS Retails,"Takeaway, Delivery","Bakery, Desserts",3.3,600.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Thai & Chinese Fast Food,Quick Bites,"Chinese, Thai",3.4,400.0,Whitefield,KR Puram,Bangalore
Thai Chy,Casual Dining,"Thai, Asian, Indonesian",4.3,1200.0,Indiranagar,Indiranagar,Bangalore
Thai House,Casual Dining,Thai,4.2,700.0,Indiranagar,Brigade Road,Bangalore
Thalaserry Food Court,Casual Dining,"Kerala, Biryani, Seafood, North Indian, Chinese",3.5,600.0,Whitefield,Whitefield,Bangalore
Thalassery Cafe,Quick Bites,Street Food,3.4,150.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Thalassery Food Court,Casual Dining,"Kerala, North Indian, Chinese",3.1,500.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Thalassery Hotel,Quick Bites,"Kerala, South Indian",2.8,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Thalassery Mess,Mess,Kerala,3.3,300.0,HSR,HSR,Bangalore
Thalassery Plaza,Quick Bites,"Kerala, North Indian, Chinese",3.5,400.0,Kammanahalli,Hennur,Bangalore
Thalassery Restaurant,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",2.8,600.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Thalis Of India,Delivery,"South Indian, North Indian, Beverages",3.3,500.0,Bellandur,Sarjapur Road,Bangalore
Thamboola,Casual Dining,"North Indian, Chinese, Continental",3.8,800.0,Jayanagar,Banashankari,Bangalore
Thanco's Natural Ice Cream,Dessert Parlor,"Ice Cream, Desserts",3.1,450.0,Rajajinagar,Rajajinagar,Bangalore
Thanco's Natural Ice Creams,Dessert Parlor,Ice Cream,3.2,300.0,Banashankari,Banashankari,Bangalore
Thanco's Naturals Ice Cream,Dessert Parlor,"Ice Cream, Desserts",3.6,450.0,Marathahalli,Marathahalli,Bangalore
Thanima Garden Restaurant,Casual Dining,"North Indian, Chinese, Kerala",3.6,500.0,Electronic City,Electronic City,Bangalore
Thanishka Nati And Karavali Style,Quick Bites,"Biryani, Fast Food",2.8,400.0,Banashankari,Banashankari,Bangalore
Tharavadu,Quick Bites,"Chinese, North Indian, Kerala",3.8,400.0,HSR,HSR,Bangalore
That Garage Cafe,Cafe,"Cafe, Italian, Continental, European",3.1,650.0,Bellandur,HSR,Bangalore
Thayee Touch,Casual Dining,"North Indian, Chinese, South Indian",3.6,450.0,Bannerghatta Road,JP Nagar,Bangalore
The 13th Floor,Lounge,"Asian, North Indian, Thai",4.4,1700.0,Brigade Road,MG Road,Bangalore
The 3 Musketeers,Dessert Parlor,"Ice Cream, Desserts",3.2,200.0,Brookefield,Whitefield,Bangalore
The 90s Hash House,Cafe,Cafe,3.8,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
The Adukkala Restaurant,Casual Dining,Kerala,3.6,500.0,Brigade Road,Brigade Road,Bangalore
The Airos,Cafe,"Cafe, Italian, Pizza",4.1,650.0,Banashankari,Jayanagar,Bangalore
The Alphaa,Casual Dining,"Andhra, North Indian, Chinese, Biryani, Seafood",3.8,550.0,HSR,Bommanahalli,Bangalore
The Andhra Bhojanam,Bhojanalya,South Indian,3.2,300.0,Brookefield,"ITPL Main Road, Whitefield",Bangalore
The Ants Cafe & Store,Cafe,"Cafe, Italian",3.9,900.0,Indiranagar,Indiranagar,Bangalore
The Arabesque Cafe,Casual Dining,"American, Continental, Chinese",4.1,600.0,Koramangala 4th Block,Koramangala 4th Block,Bangalore
The Arabian Nights,"Takeaway, Delivery","Arabian, North Indian, Chinese",2.6,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
The Asian Curry House,Casual Dining,"Vietnamese, Thai, Burmese, Japanese",4.5,1000.0,Malleshwaram,Malleshwaram,Bangalore
The Bahubali,Casual Dining,"North Indian, Chinese",3.4,800.0,Marathahalli,Marathahalli,Bangalore
The Baker's,"Bakery, Quick Bites","Bakery, Fast Food",2.4,500.0,HSR,HSR,Bangalore
The Bakery World,Bakery,"Bakery, Desserts",3.2,250.0,Church Street,Frazer Town,Bangalore
The Banana Kick,Cafe,"Cafe, Beverages",3.3,600.0,Malleshwaram,New BEL Road,Bangalore
The Bangalore Cafe,Casual Dining,"Modern Indian, North Indian, Pizza, Continental, Beverages",4.1,800.0,Brigade Road,Shanti Nagar,Bangalore
The Bar Stock Exchange,"Pub, Casual Dining","Continental, Chinese, North Indian, Finger Food",4.2,1300.0,Lavelle Road,St. Marks Road,Bangalore
The Bar Therapy,Bar,"Continental, Chinese",2.8,800.0,HSR,Koramangala 1st Block,Bangalore
The Barn - Bar & Kitchen,Pub,"American, North Indian, Chinese",4.2,1500.0,Brigade Road,Brigade Road,Bangalore
The Bawarchi,Casual Dining,"North Indian, Chinese",2.5,1050.0,Kammanahalli,Banaswadi,Bangalore
The Beer Cafe,Pub,"Finger Food, North Indian, Chinese, Italian",4.1,1400.0,Whitefield,Whitefield,Bangalore
The Beer Joint,Casual Dining,"North Indian, Chinese",3.4,800.0,Indiranagar,Indiranagar,Bangalore
THE BEL ST.,"Cafe, Casual Dining","Cafe, Italian, American, Continental",3.9,1100.0,New BEL Road,New BEL Road,Bangalore
The Belgian Waffle Co.,Dessert Parlor,"Desserts, Beverages",3.7,350.0,New BEL Road,Sahakara Nagar,Bangalore
The Belgian Waffle Company,Dessert Parlor,Desserts,3.9,250.0,Brookefield,Brookefield,Bangalore
The Bengal Rasoi,Delivery,Bengali,3.2,350.0,Marathahalli,Kaggadasapura,Bangalore
The Bengaluru Brasserie - Hyatt Centric MG Road,Casual Dining,"Continental, Asian, North Indian, South Indian",4.1,2000.0,Brigade Road,Ulsoor,Bangalore
The Bier Library,"Microbrewery, Casual Dining","Continental, North Indian, Pizza, BBQ",4.3,2000.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
The Biere Club,"Pub, Microbrewery","Continental, BBQ, Finger Food",4.3,1700.0,Whitefield,Whitefield,Bangalore
The Big Barbeque,Casual Dining,"BBQ, North Indian, Continental, Chinese",4.7,1500.0,Electronic City,Electronic City,Bangalore
The Big Bellyz,Quick Bites,"Fast Food, Beverages, Momos",3.9,300.0,Malleshwaram,Malleshwaram,Bangalore
The Big Grill,Quick Bites,"North Indian, Chinese, Mughlai",3.4,400.0,Marathahalli,Marathahalli,Bangalore
The Big O Bakes,Bakery,"Bakery, Desserts",4.0,300.0,Banashankari,Banashankari,Bangalore
The Big Spoon,Casual Dining,"North Indian, Mughlai",3.8,750.0,Brookefield,Whitefield,Bangalore
The Bigman's Cafe,"Takeaway, Delivery","North Indian, Chinese",3.7,450.0,HSR,HSR,Bangalore
The Biriyani Factory,Quick Bites,"North Indian, Biryani",3.1,500.0,Bannerghatta Road,BTM,Bangalore
The Biriyani Pedia,Quick Bites,Biryani,3.9,300.0,Basavanagudi,BTM,Bangalore
The Biryani Cafe,Quick Bites,"Biryani, Chinese, Kebab",4.1,300.0,Banashankari,Banashankari,Bangalore
The Biryani Culture,Food Court,North Indian,3.2,500.0,Malleshwaram,Malleshwaram,Bangalore
The Biryani Palace,Quick Bites,"Biryani, Andhra",3.0,500.0,HSR,HSR,Bangalore
The Biryani Paradise,Quick Bites,"Biryani, South Indian",3.8,350.0,Brigade Road,Richmond Road,Bangalore
The Biryani Story,Casual Dining,"Biryani, North Indian, Chinese, Mughlai",4.4,600.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
The Biryanis,Casual Dining,"Andhra, Biryani, North Indian",3.8,500.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
The Bite Club,Food Truck,"American, Goan",3.6,400.0,Indiranagar,East Bangalore,Bangalore
The Black Pearl,"Casual Dining, Bar","North Indian, European, Mediterranean",4.7,1400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
The Black Rabbit,"Bar, Casual Dining","Continental, Salad, Burger, Finger Food, Pizza",4.3,1500.0,Indiranagar,Indiranagar,Bangalore
The Blackboard Bakery,"Cafe, Bakery","Cafe, Bakery, Continental",3.7,1000.0,Church Street,Lavelle Road,Bangalore
The Blue Bawarchi,Quick Bites,"Chinese, Oriya, North Indian, Bengali",3.6,300.0,Kalyan Nagar,Nagawara,Bangalore
The Blue Wagon - Kitchen,Cafe,"Cafe, Beverages",4.6,400.0,Banashankari,Jayanagar,Bangalore
The Bong,Quick Bites,"Bengali, North Indian",3.1,300.0,Lavelle Road,Frazer Town,Bangalore
The Bong Palate,Quick Bites,"Bengali, North Indian, Chinese",3.8,300.0,Bannerghatta Road,BTM,Bangalore
The Boozy Griffin,"Casual Dining, Pub","European, Continental",4.6,1800.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
The Breakfast Club,Delivery,"Continental, South Indian, North Indian",3.9,400.0,Electronic City,Electronic City,Bangalore
The Breakfast Truck,Quick Bites,Continental,3.8,550.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
The Breakfeast,"Takeaway, Delivery","Continental, North Indian, South Indian",3.4,200.0,HSR,HSR,Bangalore
The Brekkie Shop,Delivery,"Healthy Food, Sandwich",3.7,300.0,Indiranagar,Indiranagar,Bangalore
The Brew - Aurick Boutique Hotel,Casual Dining,"North Indian, South Indian, Chinese, Grill",3.1,700.0,Jayanagar,JP Nagar,Bangalore
The Brewing Bean,Cafe,Cafe,3.7,500.0,Bellandur,Bellandur,Bangalore
The Bridge Walk Cafe,Cafe,"Cafe, Continental",3.7,500.0,Kalyan Nagar,Kengeri,Bangalore
The Buffet Table,Casual Dining,"North Indian, Pan Asian, Chinese, Italian, Continental, South Indian",2.8,1200.0,HSR,HSR,Bangalore
The Bundle Co.,Quick Bites,"Burger, Continental, Italian, Beverages",4.4,700.0,Brigade Road,MG Road,Bangalore
The Burger Place,Quick Bites,"Burger, Continental, Fast Food",3.8,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,Cafe,Cafe,4.0,800.0,Brigade Road,Richmond Road,Bangalore
The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,Cafe,Cafe,4.0,800.0,Lavelle Road,Richmond Road,Bangalore
The Cafe Nuts and Bolts,Cafe,"Cafe, Fast Food, Chinese",3.0,500.0,JP Nagar,Kumaraswamy Layout,Bangalore
The Cake City,"Quick Bites, Bakery","Chinese, Continental, Desserts, Bakery",3.2,300.0,Basavanagudi,Shanti Nagar,Bangalore
The Cake Factory,Bakery,Bakery,3.4,300.0,Rajajinagar,Rajajinagar,Bangalore
The Cake House,Bakery,"Bakery, Desserts",3.7,300.0,Brigade Road,Ulsoor,Bangalore
The Cake Lair,"Bakery, Quick Bites","Bakery, Fast Food, Beverages",2.8,600.0,Electronic City,Electronic City,Bangalore
The Cake Mart,Bakery,"Bakery, Desserts",3.5,600.0,Indiranagar,Old Airport Road,Bangalore
The Cake Post,Bakery,"Bakery, Desserts",3.4,900.0,Old Airport Road,Old Airport Road,Bangalore
The Cake Shop Mayura,Bakery,"Bakery, Desserts",3.6,800.0,Jayanagar,JP Nagar,Bangalore
The Cake Ville,"Bakery, Quick Bites","Bakery, Desserts, Fast Food",3.2,300.0,Bannerghatta Road,JP Nagar,Bangalore
The Cake Zone,Bakery,Bakery,2.8,200.0,Bannerghatta Road,JP Nagar,Bangalore
The Caramelts Cafe,Cafe,"Cafe, Salad, Wraps, Beverages",4.1,800.0,Jayanagar,Jayanagar,Bangalore
The Chaat Shop,Quick Bites,Fast Food,2.5,200.0,Basavanagudi,Basavanagudi,Bangalore
The Chai Stop,Quick Bites,"Fast Food, Tea",2.8,200.0,Brookefield,Brookefield,Bangalore
The Chameleon,Bar,Finger Food,4.1,1200.0,Electronic City,Electronic City,Bangalore
The Charcoal Factory,Quick Bites,"Burger, Pizza, Momos",4.1,600.0,Brigade Road,Koramangala 6th Block,Bangalore
The Chariot,Quick Bites,"South Indian, North Indian, Chinese",2.9,350.0,Brigade Road,Brigade Road,Bangalore
The Charlton Bar,Bar,"Chinese, North Indian",3.3,1000.0,Brigade Road,Residency Road,Bangalore
The Cheesecake Corner,"Takeaway, Delivery",Desserts,3.7,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
The Chef Couple,Casual Dining,"North Indian, Mughlai, Chinese",3.4,750.0,Sarjapur Road,Sarjapur Road,Bangalore
The Chef's Cake & Bakes,Dessert Parlor,Desserts,2.8,800.0,Brigade Road,Richmond Road,Bangalore
The Chef's Kitchen,Casual Dining,"Continental, North Indian, Chinese",3.8,800.0,Kalyan Nagar,Kalyan Nagar,Bangalore
The Chefs Specials,"Takeaway, Delivery","North Indian, Chinese, Mughlai",2.8,400.0,Whitefield,Whitefield,Bangalore
